;approval;gender;usia; pinjaman;tenor;pemasukan;tanggungan;pekerjaan
171;Y;M;45;1000000;16;5000000;0;Wirausaha
172;Y;F;57;1800000;4;2300000;2;Pedagang
173;N;M;85;1400000;4;1200000;1;Pekerja Lepas
174;Y;M;70;700000;10;3500000;5;Wirausaha
175;N;M;72;1200000;8;1200000;2;Pedagang
176;N;F;86;1500000;4;5000000;2;Buruh
177;Y;M;83;1400000;3;3000000;4;Pedagang
178;Y;M;25;1000000;8;4800000;0;Pekerja Lepas
179;N;M;98;1200000;10;1500000;2;Buruh
180;N;M;30;1200000;8;2000000;0;Pedagang
181;Y;F;49;1500000;4;4800000;2;Pedagang
182;Y;M;56;500000;10;4800000;1;Wirausaha
183;N;M;92;700000;20;1200000;2;Guru/Dosen
184;N;M;20;500000;20;1200000;4;Guru/Dosen
185;Y;M;45;1000000;16;4000000;4;Wirausaha
186;Y;M;99;1400000;20;5000000;1;Pekerja Lepas
187;Y;F;77;1800000;3;5000000;5;Wirausaha
188;Y;M;29;700000;10;3500000;5;Pedagang
189;N;F;56;500000;10;3500000;2;Guru/Dosen
190;N;F;36;2000000;16;2000000;3;Guru/Dosen
191;N;M;34;1200000;6;4600000;5;Guru/Dosen
192;Y;M;86;2000000;10;4800000;5;Pedagang
193;Y;F;67;1600000;16;2500000;2;Wirausaha
194;N;F;89;2000000;4;4400000;1;Guru/Dosen
195;N;F;75;1200000;16;1500000;1;Pekerja Lepas
196;N;M;84;3000000;10;2000000;4;Pedagang
197;Y;M;100;500000;12;4000000;0;Wirausaha
198;N;M;94;1600000;5;1500000;3;Pekerja Lepas
199;N;M;94;2500000;4;4000000;2;Guru/Dosen
200;Y;M;56;1600000;4;4400000;3;Pedagang
201;Y;F;85;1900000;4;4000000;5;Pedagang
202;Y;M;53;1500000;10;2300000;2;Wirausaha
203;N;M;83;1000000;12;2000000;4;Guru/Dosen
204;N;M;63;500000;6;3500000;2;Buruh
205;N;M;43;1800000;16;2300000;3;Guru/Dosen
206;N;M;54;500000;8;4000000;2;Guru/Dosen
207;Y;M;23;1200000;4;4600000;2;Pedagang
208;N;M;83;1200000;6;4400000;5;Guru/Dosen
209;N;M;77;3000000;10;1800000;1;Pekerja Lepas
210;Y;F;21;1400000;4;2300000;4;Pedagang
211;Y;M;58;1400000;16;2300000;2;Pedagang
212;N;F;90;1400000;20;2500000;4;Guru/Dosen
213;Y;F;21;700000;3;4400000;3;Pekerja Lepas
214;Y;M;49;3000000;6;4400000;5;Wirausaha
215;N;F;42;2500000;5;1200000;4;Guru/Dosen
216;N;M;27;1200000;12;1200000;3;Buruh
217;N;F;63;2000000;10;1200000;0;Guru/Dosen
218;Y;M;59;2500000;6;2300000;1;Pekerja Lepas
219;N;M;84;1200000;5;1500000;3;Guru/Dosen
220;N;M;68;500000;12;4400000;5;Guru/Dosen
221;Y;M;87;500000;6;4800000;2;Pedagang
222;Y;M;94;1500000;16;4600000;1;Pedagang
223;Y;M;82;3000000;10;4000000;2;Wirausaha
224;N;M;66;2500000;16;4500000;3;Buruh
225;Y;F;83;1200000;5;4000000;4;Pedagang
226;Y;M;95;1200000;4;2300000;3;Pekerja Lepas
227;N;F;80;1500000;5;1500000;3;Wirausaha
228;N;M;46;2500000;4;1200000;4;Guru/Dosen
229;N;F;56;700000;4;1500000;5;Pedagang
230;N;M;38;1200000;5;1500000;3;Pedagang
231;N;M;65;1200000;5;5000000;3;Buruh
232;Y;F;61;1900000;4;4800000;0;Pedagang
233;Y;M;26;2500000;4;4500000;0;Pedagang
234;N;M;51;500000;3;1500000;3;Wirausaha
235;N;M;26;1200000;4;1500000;5;Wirausaha
236;N;M;36;2500000;4;1200000;1;Buruh
237;N;M;74;1600000;10;1800000;2;Pedagang
238;Y;F;75;1400000;12;4400000;5;Pekerja Lepas
239;N;M;95;1200000;4;2000000;4;Pekerja Lepas
240;Y;M;81;700000;20;4800000;1;Pedagang
241;N;M;21;1400000;4;3000000;4;Guru/Dosen
242;N;M;36;500000;6;2000000;0;Pekerja Lepas
243;N;M;39;1800000;6;1800000;1;Guru/Dosen
244;N;F;67;500000;4;4400000;2;Guru/Dosen
245;Y;M;49;1000000;6;4500000;2;Pedagang
246;Y;M;58;500000;5;4600000;3;Pedagang
247;N;M;49;1900000;8;4000000;1;Guru/Dosen
248;N;M;22;1800000;8;2000000;4;Buruh
249;Y;F;44;1200000;16;4500000;5;Pedagang
250;N;F;80;1000000;8;4500000;1;Guru/Dosen
251;N;M;73;3000000;10;3500000;4;Buruh
252;Y;F;84;500000;5;4400000;5;Pekerja Lepas
253;Y;M;92;1400000;12;2300000;4;Pedagang
254;Y;M;24;1400000;6;4500000;5;Pedagang
255;Y;M;96;1900000;10;4000000;0;Pekerja Lepas
256;Y;M;99;1200000;6;4000000;2;Pekerja Lepas
257;Y;M;25;1900000;16;3500000;0;Pedagang
258;N;M;73;1500000;16;3500000;4;Buruh
259;N;M;92;1200000;4;3000000;1;Buruh
260;Y;F;62;1400000;16;4000000;2;Wirausaha
261;N;M;88;700000;12;1500000;5;Pedagang
262;Y;M;84;1200000;3;4000000;3;Pekerja Lepas
263;N;M;90;2000000;3;1200000;4;Pedagang
264;N;F;47;1900000;10;1800000;0;Buruh
265;Y;M;75;3000000;12;4600000;1;Pedagang
266;Y;M;74;1800000;4;3000000;1;Pekerja Lepas
267;Y;M;23;1800000;4;4500000;2;Pedagang
268;Y;M;63;1200000;12;5000000;1;Guru/Dosen
269;Y;F;85;2500000;3;4600000;1;Pedagang
270;Y;M;46;1800000;5;4800000;4;Wirausaha
271;N;M;40;1200000;5;2000000;1;Buruh
272;Y;F;86;1900000;8;4800000;4;Pedagang
273;N;M;86;1200000;8;2300000;5;Buruh
274;Y;F;26;500000;4;3000000;2;Wirausaha
275;Y;M;75;500000;12;2500000;2;Wirausaha
276;Y;M;22;1800000;4;4000000;5;Pedagang
277;Y;M;99;1200000;10;4800000;2;Pedagang
278;Y;M;61;1500000;8;3500000;5;Pedagang
279;N;F;25;3000000;12;2000000;3;Wirausaha
280;N;F;25;700000;3;1800000;4;Pedagang
281;Y;M;47;1500000;10;4400000;1;Wirausaha
282;N;M;31;1500000;5;2000000;0;Buruh
283;N;M;82;1000000;12;1200000;3;Pekerja Lepas
284;N;M;46;2000000;12;1500000;0;Wirausaha
285;Y;M;25;1500000;8;2500000;5;Pedagang
286;Y;F;97;500000;8;2500000;3;Pedagang
287;Y;F;58;500000;12;4800000;1;Guru/Dosen
288;N;F;43;500000;10;4800000;4;Buruh
289;N;F;83;3000000;10;1800000;1;Pedagang
290;Y;F;92;500000;16;4000000;0;Wirausaha
291;N;M;77;1200000;16;2300000;4;Guru/Dosen
292;Y;F;76;1500000;4;4000000;0;Pekerja Lepas
293;Y;M;22;1200000;12;2500000;5;Wirausaha
294;N;M;97;2000000;5;3000000;5;Guru/Dosen
295;N;M;52;1200000;5;1500000;1;Wirausaha
296;Y;M;98;1900000;20;4800000;0;Wirausaha
297;N;F;87;1200000;4;4000000;3;Guru/Dosen
298;N;F;96;2000000;5;4800000;4;Guru/Dosen
299;N;M;87;1400000;10;2300000;4;Buruh
300;Y;M;25;700000;8;4500000;0;Pekerja Lepas
301;Y;F;67;500000;5;4500000;2;Pedagang
302;Y;F;50;2500000;12;4800000;4;Wirausaha
303;N;M;78;1500000;5;1500000;0;Pedagang
304;N;M;57;700000;16;4800000;4;Buruh
305;Y;M;31;700000;20;5000000;5;Wirausaha
306;N;F;91;700000;16;4600000;0;Guru/Dosen
307;Y;M;71;1400000;8;3500000;4;Wirausaha
308;Y;M;79;2500000;10;4600000;0;Wirausaha
309;Y;F;37;1200000;16;3500000;1;Wirausaha
310;Y;F;57;1200000;12;3500000;0;Pedagang
311;Y;M;67;700000;12;2300000;2;Pekerja Lepas
312;Y;M;81;1200000;3;3500000;3;Pedagang
313;Y;M;67;1200000;5;4500000;0;Pedagang
314;Y;M;67;1200000;5;4600000;3;Pedagang
315;Y;M;28;1500000;4;4400000;2;Pekerja Lepas
316;Y;M;86;500000;6;4000000;0;Wirausaha
317;Y;M;77;500000;12;4800000;5;Pekerja Lepas
318;N;M;54;1600000;8;2000000;3;Pedagang
319;Y;M;78;3000000;16;2300000;5;Pedagang
320;N;M;90;1500000;4;2000000;5;Pedagang
321;N;M;47;3000000;12;4600000;3;Buruh
322;Y;M;90;1000000;6;4800000;0;Pedagang
323;Y;M;78;1400000;3;2500000;3;Pekerja Lepas
324;N;F;31;500000;4;1500000;0;Buruh
325;Y;M;88;1200000;3;2300000;2;Wirausaha
326;N;M;44;1400000;20;1800000;3;Pekerja Lepas
327;Y;M;21;1900000;6;4400000;0;Guru/Dosen
328;Y;M;97;1800000;4;5000000;4;Wirausaha
329;N;F;64;2500000;4;1800000;0;Pedagang
330;N;M;44;1200000;4;4800000;3;Guru/Dosen
331;N;F;54;1900000;3;1200000;5;Pekerja Lepas
332;N;M;95;1000000;16;1500000;4;Pedagang
333;Y;M;66;2000000;4;2500000;4;Wirausaha
334;N;F;34;1200000;10;1500000;2;Pekerja Lepas
335;Y;F;62;1900000;5;2300000;0;Pekerja Lepas
336;Y;M;46;1000000;10;4800000;4;Wirausaha
337;N;M;72;3000000;16;2500000;5;Buruh
338;Y;M;59;1200000;10;4000000;3;Pekerja Lepas
339;Y;M;98;1000000;16;4800000;5;Pekerja Lepas
340;N;F;84;2500000;3;4500000;3;Guru/Dosen
341;N;M;54;1500000;4;1200000;3;Wirausaha
342;N;F;42;2000000;5;2000000;5;Pekerja Lepas
343;N;F;23;1200000;4;1500000;3;Wirausaha
344;N;M;89;1600000;12;1200000;1;Pedagang
345;Y;M;53;1200000;8;3000000;2;Wirausaha
346;Y;M;33;3000000;12;4800000;4;Pekerja Lepas
347;Y;M;86;700000;10;5000000;4;Pedagang
348;Y;M;61;1800000;6;5000000;0;Pekerja Lepas
349;Y;M;79;1900000;20;4800000;1;Pedagang
350;Y;M;24;500000;4;4000000;0;Wirausaha
351;Y;M;48;1200000;3;3500000;2;Wirausaha
352;N;M;70;1200000;4;4600000;0;Guru/Dosen
353;Y;M;71;2500000;16;2300000;0;Wirausaha
354;Y;M;90;1500000;12;2500000;0;Wirausaha
355;N;M;94;500000;12;4000000;3;Buruh
356;N;M;70;1600000;6;4800000;5;Guru/Dosen
357;N;M;61;2000000;20;1200000;4;Wirausaha
358;N;M;32;1500000;10;1800000;1;Wirausaha
359;N;M;48;700000;4;2500000;5;Guru/Dosen
360;N;M;44;1000000;20;3500000;5;Buruh
361;Y;M;62;1900000;8;3000000;1;Pedagang
362;N;M;29;2500000;10;2000000;1;Guru/Dosen
363;N;M;70;1800000;6;3000000;5;Guru/Dosen
364;Y;M;26;1800000;20;4400000;2;Pekerja Lepas
365;N;M;98;1000000;3;2000000;1;Guru/Dosen
366;Y;F;20;700000;20;4500000;3;Pekerja Lepas
367;N;M;99;1000000;10;2000000;4;Pedagang
368;N;M;31;700000;8;1500000;5;Wirausaha
369;Y;F;61;1800000;10;2500000;2;Pekerja Lepas
370;Y;M;91;1200000;6;4800000;2;Pedagang
371;Y;M;44;500000;10;4500000;1;Pekerja Lepas
372;N;M;82;500000;4;4500000;5;Guru/Dosen
373;Y;M;57;1800000;6;5000000;2;Pekerja Lepas
374;Y;F;20;500000;3;2500000;0;Wirausaha
375;N;M;72;500000;10;1800000;2;Pekerja Lepas
376;Y;F;35;700000;5;4600000;5;Pekerja Lepas
377;Y;M;69;1200000;10;5000000;1;Pedagang
378;Y;F;37;1500000;20;2500000;0;Pedagang
379;N;M;38;2000000;20;4800000;4;Buruh
380;Y;F;68;500000;10;2500000;3;Pedagang
381;N;M;74;1200000;10;4600000;1;Guru/Dosen
382;Y;M;22;500000;4;3000000;5;Pedagang
383;N;F;31;1200000;20;1200000;4;Pedagang
384;N;M;30;1400000;6;1500000;2;Guru/Dosen
385;N;F;50;500000;6;2300000;3;Guru/Dosen
386;Y;M;38;2000000;4;4400000;0;Pekerja Lepas
387;N;F;96;2000000;8;1500000;4;Pedagang
388;Y;M;86;1600000;10;4800000;0;Wirausaha
389;Y;M;66;1200000;6;4800000;3;Pedagang
390;Y;M;51;500000;3;4800000;0;Pekerja Lepas
391;N;M;51;500000;8;2000000;3;Pedagang
392;N;M;79;1000000;8;1200000;0;Wirausaha
393;N;F;42;3000000;10;1500000;2;Pedagang
394;N;F;57;1000000;16;1200000;1;Pedagang
395;N;M;54;2500000;8;1800000;0;Pekerja Lepas
396;Y;F;75;1600000;10;4500000;5;Pedagang
397;N;M;89;1200000;4;1500000;1;Buruh
398;N;M;73;500000;10;1200000;3;Wirausaha
399;N;M;85;500000;20;1800000;0;Pedagang
400;Y;M;68;1000000;4;3000000;3;Pedagang
401;N;F;54;1000000;3;1500000;0;Wirausaha
402;Y;M;55;1500000;10;5000000;0;Pedagang
403;N;M;52;1200000;16;5000000;2;Guru/Dosen
404;N;M;95;500000;3;4800000;2;Buruh
405;N;M;88;1200000;3;4400000;1;Buruh
406;Y;M;96;3000000;4;2300000;0;Pedagang
407;Y;M;48;3000000;10;3000000;3;Pekerja Lepas
408;N;F;29;1800000;16;2500000;3;Buruh
409;Y;M;41;1000000;10;4400000;2;Pedagang
410;Y;M;45;1000000;10;4800000;5;Pedagang
411;N;M;100;1200000;5;1500000;4;Guru/Dosen
412;Y;M;85;1400000;10;4800000;5;Pekerja Lepas
413;N;M;98;1500000;16;1200000;5;Buruh
414;N;M;32;1400000;4;2500000;4;Guru/Dosen
415;Y;F;79;1200000;10;4500000;5;Pekerja Lepas
416;Y;M;70;1000000;10;4500000;1;Wirausaha
417;Y;M;78;3000000;10;4400000;5;Pedagang
418;Y;M;78;700000;5;3000000;4;Pedagang
419;Y;M;25;500000;16;4600000;0;Buruh
420;Y;M;56;500000;3;3500000;0;Buruh
421;Y;F;50;500000;3;4800000;2;Wirausaha
422;N;F;70;500000;4;1500000;2;Pedagang
423;N;F;29;1900000;8;2000000;3;Guru/Dosen
424;N;F;46;700000;8;2000000;5;Buruh
425;N;M;46;1800000;6;4500000;1;Buruh
426;N;M;76;500000;10;1200000;3;Buruh
427;Y;F;34;500000;8;5000000;1;Wirausaha
428;Y;M;38;500000;6;4800000;3;Wirausaha
429;Y;M;99;700000;20;5000000;4;Pedagang
430;N;F;82;1600000;3;4800000;2;Buruh
431;N;F;66;1900000;20;3500000;2;Buruh
432;N;M;99;1400000;8;1800000;4;Pedagang
433;Y;M;70;2500000;3;4500000;2;Pedagang
434;Y;M;75;2500000;6;5000000;2;Pekerja Lepas
435;N;M;28;1200000;12;2300000;1;Guru/Dosen
436;N;F;91;1200000;8;4800000;2;Buruh
437;N;F;94;1800000;20;4000000;2;Guru/Dosen
438;N;F;54;1200000;4;4800000;4;Guru/Dosen
439;N;M;35;1600000;4;2500000;3;Buruh
440;N;F;100;1600000;16;4000000;4;Buruh
441;Y;F;59;2500000;10;2300000;2;Pedagang
442;N;F;53;2000000;16;2500000;2;Guru/Dosen
443;N;M;70;500000;20;4400000;2;Guru/Dosen
444;Y;M;41;1900000;16;2500000;4;Pekerja Lepas
445;Y;F;87;1000000;3;4400000;4;Pedagang
446;Y;M;27;500000;16;4000000;1;Pekerja Lepas
447;Y;F;80;3000000;10;5000000;4;Pekerja Lepas
448;Y;M;22;1800000;8;2500000;5;Wirausaha
449;N;F;77;500000;20;1200000;0;Guru/Dosen
450;Y;F;71;1600000;10;4800000;0;Wirausaha
451;N;F;37;1500000;3;2000000;4;Guru/Dosen
452;Y;M;40;2500000;4;4500000;3;Pekerja Lepas
453;N;F;45;1600000;3;4500000;2;Guru/Dosen
454;N;F;33;500000;20;1500000;1;Guru/Dosen
455;Y;M;81;1000000;4;4500000;4;Pedagang
456;Y;F;20;1200000;3;2500000;5;Pedagang
457;Y;M;71;1200000;3;3500000;5;Pedagang
458;Y;M;91;1200000;10;2500000;4;Pedagang
459;Y;M;37;1500000;4;4000000;5;Pedagang
460;N;M;44;2000000;5;1200000;4;Guru/Dosen
461;N;F;56;3000000;3;2300000;3;Buruh
462;N;F;55;3000000;3;4800000;3;Buruh
463;N;M;65;1500000;3;3000000;1;Buruh
464;Y;M;72;3000000;12;4600000;5;Pekerja Lepas
465;Y;M;69;2500000;10;3500000;0;Pedagang
466;Y;M;61;1600000;20;4000000;4;Pedagang
467;N;M;41;1600000;5;1800000;3;Wirausaha
468;Y;F;76;1200000;10;3500000;4;Pekerja Lepas
469;Y;M;56;1200000;4;4800000;5;Pedagang
470;N;M;49;1200000;12;3000000;2;Guru/Dosen
471;Y;M;64;1200000;10;4500000;2;Pedagang
472;Y;F;52;2000000;10;5000000;3;Pedagang
473;Y;M;68;1400000;8;3000000;0;Pedagang
474;Y;M;45;1000000;10;3500000;2;Pekerja Lepas
475;Y;M;34;3000000;16;4600000;4;Wirausaha
476;N;F;69;1600000;8;3000000;0;Buruh
477;N;M;94;1200000;10;1200000;2;Pekerja Lepas
478;Y;F;33;500000;16;2500000;0;Guru/Dosen
479;Y;M;30;500000;20;5000000;1;Wirausaha
480;Y;F;30;500000;16;3000000;3;Pekerja Lepas
481;Y;M;95;1200000;10;4600000;2;Pekerja Lepas
482;Y;M;89;1600000;6;4600000;3;Wirausaha
483;N;M;94;1500000;3;1500000;0;Buruh
484;N;F;100;1200000;5;1800000;4;Pedagang
485;Y;F;87;1200000;10;5000000;4;Pedagang
486;Y;F;71;1000000;12;3000000;3;Pekerja Lepas
487;Y;F;23;500000;10;4000000;2;Pedagang
488;Y;M;68;1800000;4;3000000;5;Pedagang
489;Y;F;65;1000000;4;5000000;5;Pedagang
490;Y;M;23;1900000;10;4800000;5;Pedagang
491;N;M;29;1400000;5;1200000;5;Guru/Dosen
492;Y;M;31;2500000;20;5000000;1;Buruh
493;Y;M;21;2000000;10;4000000;3;Pekerja Lepas
494;N;M;74;500000;10;1800000;0;Buruh
495;N;M;68;1200000;4;3500000;2;Buruh
496;N;F;31;1500000;4;3500000;2;Guru/Dosen
497;Y;M;44;1000000;10;4600000;2;Pekerja Lepas
498;Y;M;34;1200000;20;5000000;3;Pedagang
499;N;M;65;2000000;12;4000000;4;Buruh
500;Y;M;55;1000000;10;3000000;1;Pedagang
501;Y;M;68;2000000;4;4600000;5;Wirausaha
502;Y;M;26;1200000;6;4500000;5;Pedagang
503;N;F;90;1600000;6;3000000;2;Guru/Dosen
504;Y;F;82;1200000;10;3500000;2;Pedagang
505;Y;M;31;2000000;4;5000000;0;Pekerja Lepas
