,usia,econ,pekerjaan,pinjaman ke,telat bayar,donasi,score
73,1.0,1.0,1.0,1.0,2.0,1.0,236.323
74,2.0,5.0,2.0,3.0,2.0,2.0,777.479
75,1.0,5.0,1.0,1.0,3.0,0.0,450.83299999999997
76,1.0,2.0,1.0,3.0,3.0,2.0,473.47900000000004
77,2.0,5.0,1.0,1.0,3.0,1.0,514.573
78,1.0,0.0,2.0,2.0,2.0,0.0,260.416
79,1.0,5.0,1.0,3.0,3.0,1.0,634.989
80,2.0,4.0,1.0,3.0,1.0,3.0,703.219
81,2.0,5.0,1.0,2.0,2.0,1.0,600.406
82,1.0,2.0,1.0,3.0,3.0,2.0,473.47900000000004
83,2.0,4.0,1.0,3.0,2.0,0.0,560.749
84,1.0,2.0,1.0,2.0,3.0,3.0,445.13599999999997
85,1.0,2.0,1.0,2.0,3.0,2.0,402.646
86,1.0,5.0,1.0,3.0,3.0,0.0,592.499
87,1.0,3.0,1.0,3.0,0.0,2.0,586.479
88,2.0,5.0,2.0,3.0,2.0,2.0,777.479
89,1.0,5.0,1.0,3.0,2.0,1.0,649.989
90,1.0,4.0,1.0,2.0,2.0,3.0,596.136
91,1.0,0.0,1.0,3.0,0.0,3.0,424.96900000000005
92,2.0,1.0,1.0,3.0,3.0,1.0,384.23900000000003
93,2.0,5.0,1.0,3.0,3.0,3.0,741.219
94,2.0,5.0,1.0,2.0,2.0,1.0,600.406
95,2.0,5.0,2.0,2.0,2.0,1.0,664.156
96,2.0,2.0,1.0,2.0,3.0,1.0,381.406
97,2.0,3.0,1.0,3.0,2.0,2.0,577.729
98,2.0,5.0,1.0,2.0,0.0,2.0,672.896
99,1.0,2.0,1.0,2.0,2.0,1.0,375.156
100,1.0,1.0,1.0,1.0,2.0,2.0,278.813
101,2.0,5.0,1.0,2.0,2.0,1.0,600.406
102,1.0,0.0,2.0,1.0,1.0,1.0,247.073
103,1.0,2.0,1.0,2.0,2.0,1.0,375.156
104,2.0,5.0,2.0,2.0,3.0,0.0,606.6659999999999
105,1.0,5.0,1.0,2.0,2.0,0.0,536.6659999999999
106,2.0,0.0,2.0,3.0,2.0,0.0,352.499
107,2.0,1.0,2.0,2.0,3.0,3.0,462.13599999999997
108,1.0,1.0,2.0,2.0,2.0,3.0,455.88599999999997
109,1.0,4.0,2.0,3.0,3.0,1.0,630.739
110,1.0,2.0,1.0,2.0,0.0,1.0,405.156
111,2.0,3.0,1.0,3.0,0.0,1.0,565.239
112,2.0,4.0,2.0,1.0,3.0,1.0,510.323
113,2.0,3.0,1.0,2.0,1.0,0.0,436.916
114,1.0,5.0,1.0,1.0,3.0,3.0,578.303
115,1.0,2.0,1.0,1.0,0.0,1.0,334.323
116,1.0,4.0,1.0,1.0,3.0,3.0,510.303
117,2.0,3.0,2.0,3.0,0.0,1.0,628.989
118,1.0,2.0,1.0,3.0,2.0,0.0,403.499
119,2.0,5.0,1.0,2.0,2.0,2.0,642.896
120,1.0,4.0,2.0,2.0,2.0,3.0,659.886
121,2.0,3.0,1.0,2.0,3.0,0.0,406.916
122,2.0,0.0,2.0,2.0,2.0,3.0,409.13599999999997
123,2.0,5.0,2.0,2.0,2.0,2.0,706.646
124,1.0,5.0,2.0,2.0,1.0,1.0,657.906
125,2.0,5.0,1.0,3.0,2.0,3.0,756.219
126,2.0,4.0,1.0,3.0,2.0,3.0,688.219
127,2.0,5.0,1.0,1.0,1.0,2.0,587.063
128,2.0,3.0,2.0,1.0,3.0,1.0,442.323
129,2.0,2.0,1.0,2.0,1.0,1.0,411.406
130,2.0,1.0,2.0,1.0,3.0,2.0,348.813
131,2.0,0.0,2.0,2.0,2.0,3.0,409.13599999999997
132,1.0,3.0,2.0,1.0,3.0,2.0,463.563
133,2.0,2.0,2.0,3.0,3.0,0.0,473.499
134,1.0,5.0,2.0,3.0,2.0,1.0,713.739
135,1.0,0.0,1.0,2.0,2.0,1.0,239.156
136,2.0,5.0,2.0,3.0,1.0,1.0,749.989
137,1.0,0.0,2.0,3.0,2.0,3.0,458.71900000000005
138,1.0,3.0,1.0,2.0,2.0,2.0,485.646
139,2.0,3.0,1.0,1.0,2.0,0.0,351.08299999999997
140,1.0,4.0,2.0,1.0,3.0,0.0,446.58299999999997
141,1.0,5.0,1.0,1.0,3.0,0.0,450.83299999999997
142,2.0,4.0,1.0,2.0,2.0,0.0,489.916
143,2.0,5.0,2.0,1.0,3.0,0.0,535.833
144,2.0,3.0,1.0,3.0,2.0,2.0,577.729
145,2.0,3.0,1.0,3.0,3.0,3.0,605.219
146,1.0,5.0,1.0,1.0,3.0,3.0,578.303
147,2.0,5.0,1.0,3.0,3.0,1.0,656.239
148,1.0,2.0,1.0,3.0,2.0,0.0,403.499
149,2.0,5.0,1.0,3.0,2.0,1.0,671.239
150,2.0,0.0,1.0,2.0,2.0,0.0,217.916
151,1.0,2.0,1.0,2.0,2.0,0.0,332.666
152,2.0,5.0,1.0,3.0,2.0,1.0,671.239
153,1.0,2.0,1.0,2.0,1.0,2.0,432.646
154,2.0,3.0,1.0,2.0,0.0,1.0,494.406
155,2.0,5.0,2.0,2.0,3.0,3.0,734.136
156,1.0,5.0,1.0,2.0,0.0,2.0,651.646
157,1.0,4.0,1.0,3.0,1.0,1.0,596.989
158,1.0,1.0,1.0,2.0,3.0,3.0,377.13599999999997
159,2.0,5.0,2.0,1.0,3.0,1.0,578.323
160,2.0,0.0,1.0,1.0,2.0,1.0,189.573
161,2.0,5.0,2.0,2.0,2.0,1.0,664.156
162,2.0,5.0,2.0,2.0,3.0,0.0,606.6659999999999
163,1.0,5.0,2.0,2.0,3.0,3.0,712.886
164,1.0,2.0,1.0,3.0,1.0,3.0,545.969
165,2.0,0.0,1.0,2.0,1.0,3.0,360.38599999999997
166,2.0,5.0,1.0,1.0,1.0,1.0,544.573
167,1.0,0.0,1.0,3.0,0.0,1.0,339.98900000000003
168,1.0,5.0,2.0,3.0,3.0,1.0,698.739
169,2.0,3.0,1.0,2.0,2.0,1.0,464.406
170,2.0,0.0,1.0,3.0,3.0,3.0,401.21900000000005
171,1.0,5.0,2.0,1.0,3.0,3.0,642.053
172,2.0,4.0,2.0,1.0,0.0,3.0,640.303
173,1.0,4.0,2.0,3.0,3.0,2.0,673.229
174,1.0,5.0,1.0,3.0,0.0,1.0,679.989
175,1.0,3.0,2.0,3.0,3.0,0.0,520.249
176,2.0,2.0,1.0,3.0,3.0,0.0,409.749
177,2.0,2.0,2.0,3.0,1.0,0.0,503.499
178,2.0,4.0,2.0,2.0,2.0,2.0,638.646
179,2.0,5.0,1.0,3.0,3.0,0.0,613.749
180,2.0,3.0,1.0,1.0,3.0,2.0,421.063
181,2.0,4.0,1.0,2.0,0.0,3.0,647.386
182,1.0,1.0,1.0,2.0,2.0,2.0,349.646
183,1.0,5.0,1.0,3.0,2.0,1.0,649.989
184,2.0,5.0,1.0,3.0,2.0,1.0,671.239
185,2.0,5.0,2.0,3.0,0.0,2.0,807.479
186,1.0,0.0,2.0,2.0,3.0,1.0,287.906
187,2.0,2.0,1.0,3.0,2.0,1.0,467.23900000000003
188,1.0,5.0,1.0,2.0,3.0,3.0,649.136
189,2.0,1.0,1.0,3.0,1.0,1.0,414.23900000000003
190,2.0,4.0,1.0,1.0,2.0,1.0,461.573
191,1.0,3.0,1.0,3.0,2.0,0.0,471.499
192,1.0,5.0,2.0,2.0,2.0,1.0,642.906
193,2.0,1.0,1.0,2.0,2.0,0.0,285.916
194,1.0,0.0,2.0,3.0,2.0,0.0,331.249
195,2.0,4.0,1.0,3.0,2.0,1.0,603.239
196,1.0,1.0,1.0,3.0,3.0,1.0,362.98900000000003
197,1.0,5.0,2.0,3.0,3.0,3.0,783.719
198,2.0,5.0,1.0,3.0,3.0,0.0,613.749
199,1.0,5.0,1.0,1.0,2.0,1.0,508.323
200,2.0,4.0,1.0,3.0,2.0,1.0,603.239
201,2.0,3.0,1.0,1.0,2.0,2.0,436.063
202,1.0,5.0,1.0,2.0,2.0,2.0,621.646
203,2.0,0.0,1.0,1.0,0.0,0.0,177.083
204,1.0,2.0,1.0,3.0,0.0,2.0,518.479
205,1.0,5.0,1.0,2.0,0.0,0.0,566.6659999999999
206,2.0,3.0,2.0,2.0,2.0,1.0,528.156
207,2.0,0.0,2.0,3.0,3.0,0.0,337.499
208,1.0,4.0,1.0,2.0,2.0,1.0,511.156
209,2.0,2.0,1.0,3.0,3.0,3.0,537.219
210,2.0,0.0,1.0,2.0,2.0,2.0,302.896
211,2.0,2.0,2.0,3.0,3.0,1.0,515.989
212,1.0,0.0,1.0,3.0,2.0,1.0,309.98900000000003
213,2.0,5.0,1.0,3.0,2.0,3.0,756.219
214,1.0,0.0,2.0,3.0,1.0,1.0,388.73900000000003
215,2.0,0.0,1.0,3.0,2.0,3.0,416.21900000000005
216,1.0,5.0,2.0,2.0,2.0,3.0,727.886
217,1.0,4.0,2.0,2.0,3.0,3.0,644.886
218,1.0,0.0,1.0,3.0,3.0,0.0,252.499
219,1.0,2.0,2.0,3.0,3.0,0.0,452.249
220,2.0,3.0,1.0,3.0,2.0,1.0,535.239
221,2.0,5.0,1.0,3.0,2.0,2.0,713.729
222,2.0,5.0,2.0,3.0,2.0,2.0,777.479
223,1.0,4.0,1.0,1.0,2.0,0.0,397.83299999999997
224,2.0,5.0,1.0,3.0,0.0,2.0,743.729
225,2.0,5.0,1.0,3.0,2.0,1.0,671.239
226,2.0,0.0,1.0,2.0,3.0,1.0,245.406
227,2.0,2.0,2.0,3.0,2.0,1.0,530.989
228,1.0,2.0,1.0,1.0,3.0,1.0,289.323
229,2.0,0.0,1.0,2.0,0.0,2.0,332.896
230,1.0,0.0,2.0,2.0,2.0,1.0,302.906
231,1.0,4.0,1.0,2.0,0.0,2.0,583.646
232,1.0,3.0,1.0,2.0,2.0,3.0,528.136
233,2.0,1.0,2.0,3.0,3.0,3.0,532.969
234,1.0,5.0,1.0,2.0,2.0,3.0,664.136
235,2.0,5.0,2.0,1.0,3.0,2.0,620.813
236,1.0,5.0,2.0,3.0,2.0,2.0,756.229
237,1.0,2.0,2.0,3.0,1.0,1.0,524.739
238,1.0,5.0,1.0,2.0,2.0,3.0,664.136
239,2.0,4.0,1.0,3.0,2.0,0.0,560.749
240,1.0,5.0,2.0,1.0,2.0,1.0,572.073
241,2.0,1.0,1.0,2.0,2.0,2.0,370.896
242,1.0,1.0,1.0,1.0,0.0,0.0,223.833
243,2.0,4.0,1.0,2.0,3.0,1.0,517.406
244,2.0,5.0,1.0,3.0,0.0,2.0,743.729
245,1.0,5.0,1.0,2.0,2.0,2.0,621.646
246,2.0,5.0,2.0,2.0,2.0,0.0,621.6659999999999
247,2.0,2.0,2.0,1.0,3.0,1.0,374.323
248,1.0,5.0,1.0,3.0,0.0,0.0,637.499
249,2.0,5.0,1.0,2.0,3.0,0.0,542.9159999999999
250,1.0,5.0,1.0,3.0,2.0,3.0,734.969
251,1.0,0.0,1.0,2.0,2.0,1.0,239.156
252,1.0,5.0,2.0,1.0,1.0,1.0,587.073
253,1.0,1.0,1.0,2.0,2.0,2.0,349.646
254,2.0,0.0,1.0,1.0,3.0,1.0,174.573
255,2.0,3.0,2.0,2.0,0.0,2.0,600.646
256,1.0,5.0,1.0,3.0,2.0,1.0,649.989
257,2.0,1.0,1.0,2.0,3.0,3.0,398.38599999999997
258,1.0,5.0,2.0,2.0,3.0,1.0,627.906
259,2.0,3.0,1.0,1.0,2.0,1.0,393.573
260,1.0,5.0,1.0,3.0,3.0,1.0,634.989
261,2.0,5.0,1.0,2.0,3.0,1.0,585.406
262,2.0,3.0,2.0,2.0,0.0,2.0,600.646
263,1.0,5.0,1.0,3.0,3.0,1.0,634.989
264,2.0,2.0,1.0,3.0,3.0,2.0,494.72900000000004
265,2.0,5.0,2.0,2.0,3.0,3.0,734.136
266,2.0,5.0,1.0,1.0,0.0,0.0,517.083
267,1.0,1.0,2.0,2.0,3.0,3.0,440.88599999999997
268,1.0,3.0,1.0,2.0,2.0,1.0,443.156
269,1.0,3.0,1.0,3.0,2.0,1.0,513.989
270,2.0,5.0,1.0,3.0,3.0,0.0,613.749
271,1.0,5.0,2.0,3.0,3.0,0.0,656.249
272,1.0,5.0,2.0,1.0,3.0,3.0,642.053
273,2.0,0.0,1.0,1.0,2.0,1.0,189.573
274,2.0,2.0,2.0,3.0,3.0,0.0,473.499
275,1.0,5.0,2.0,1.0,2.0,1.0,572.073
276,2.0,0.0,1.0,3.0,2.0,3.0,416.21900000000005
277,2.0,2.0,1.0,3.0,0.0,1.0,497.23900000000003
278,1.0,1.0,2.0,3.0,2.0,2.0,484.22900000000004
279,2.0,2.0,1.0,2.0,0.0,2.0,468.896
280,1.0,1.0,1.0,2.0,2.0,0.0,264.666
281,1.0,5.0,2.0,3.0,2.0,0.0,671.249
282,1.0,2.0,2.0,2.0,2.0,3.0,523.886
283,1.0,4.0,1.0,2.0,0.0,1.0,541.156
284,1.0,0.0,1.0,2.0,2.0,1.0,239.156
285,2.0,5.0,2.0,3.0,3.0,0.0,677.499
286,2.0,0.0,1.0,3.0,0.0,3.0,446.21900000000005
287,1.0,5.0,1.0,2.0,2.0,3.0,664.136
288,2.0,1.0,2.0,2.0,3.0,3.0,462.13599999999997
289,2.0,5.0,1.0,1.0,3.0,0.0,472.08299999999997
290,2.0,4.0,1.0,1.0,2.0,0.0,419.08299999999997
291,2.0,5.0,1.0,1.0,3.0,0.0,472.08299999999997
292,1.0,5.0,1.0,2.0,3.0,3.0,649.136
293,1.0,5.0,1.0,2.0,0.0,1.0,609.156
294,2.0,5.0,1.0,2.0,0.0,1.0,630.406
295,1.0,5.0,1.0,3.0,0.0,1.0,679.989
296,2.0,4.0,1.0,1.0,2.0,2.0,504.063
297,1.0,3.0,1.0,1.0,3.0,0.0,314.83299999999997
298,2.0,2.0,1.0,3.0,2.0,1.0,467.23900000000003
299,2.0,1.0,1.0,3.0,0.0,2.0,471.72900000000004
300,1.0,3.0,1.0,3.0,3.0,1.0,498.98900000000003
301,1.0,0.0,1.0,3.0,0.0,2.0,382.47900000000004
302,2.0,0.0,2.0,3.0,2.0,1.0,394.98900000000003
303,1.0,5.0,1.0,3.0,2.0,2.0,692.479
304,2.0,5.0,1.0,2.0,1.0,1.0,615.406
305,1.0,5.0,1.0,2.0,2.0,3.0,664.136
306,1.0,3.0,2.0,3.0,2.0,0.0,535.249
307,1.0,4.0,1.0,3.0,3.0,2.0,609.479
308,2.0,5.0,2.0,3.0,0.0,3.0,849.969
309,1.0,0.0,1.0,2.0,1.0,0.0,211.666
310,2.0,5.0,1.0,1.0,0.0,1.0,559.573
311,1.0,3.0,1.0,3.0,2.0,3.0,598.969
312,2.0,3.0,2.0,3.0,2.0,0.0,556.499
313,2.0,0.0,2.0,1.0,2.0,1.0,253.323
314,2.0,5.0,1.0,3.0,2.0,0.0,628.749
315,1.0,5.0,2.0,2.0,2.0,1.0,642.906
316,1.0,4.0,1.0,1.0,1.0,1.0,455.323
317,2.0,3.0,1.0,3.0,2.0,0.0,492.749
318,1.0,3.0,1.0,2.0,3.0,0.0,385.666
319,1.0,2.0,1.0,2.0,3.0,0.0,317.666
320,2.0,0.0,2.0,3.0,2.0,1.0,394.98900000000003
321,1.0,3.0,1.0,2.0,2.0,1.0,443.156
322,2.0,3.0,2.0,3.0,1.0,1.0,613.989
323,2.0,5.0,1.0,3.0,1.0,1.0,686.239
324,2.0,5.0,1.0,3.0,3.0,0.0,613.749
325,2.0,5.0,1.0,2.0,3.0,2.0,627.896
326,2.0,1.0,2.0,1.0,1.0,2.0,378.813
327,2.0,4.0,1.0,3.0,3.0,1.0,588.239
328,1.0,5.0,1.0,2.0,2.0,2.0,621.646
329,2.0,2.0,1.0,3.0,3.0,2.0,494.72900000000004
330,2.0,5.0,1.0,3.0,2.0,0.0,628.749
331,2.0,2.0,1.0,1.0,2.0,2.0,368.063
332,2.0,1.0,1.0,2.0,1.0,3.0,428.38599999999997
333,2.0,0.0,2.0,1.0,0.0,0.0,240.833
334,1.0,5.0,1.0,2.0,3.0,1.0,564.156
335,2.0,5.0,2.0,3.0,3.0,3.0,804.969
336,1.0,5.0,1.0,3.0,3.0,2.0,677.479
337,1.0,5.0,1.0,1.0,2.0,1.0,508.323
338,2.0,0.0,1.0,3.0,2.0,1.0,331.23900000000003
339,1.0,4.0,1.0,2.0,1.0,1.0,526.156
340,2.0,4.0,1.0,3.0,2.0,1.0,603.239
341,2.0,5.0,1.0,3.0,2.0,0.0,628.749
342,2.0,5.0,1.0,3.0,3.0,3.0,741.219
343,2.0,3.0,1.0,2.0,2.0,0.0,421.916
344,2.0,2.0,2.0,1.0,2.0,3.0,474.303
345,1.0,5.0,1.0,2.0,2.0,1.0,579.156
346,1.0,5.0,1.0,1.0,2.0,0.0,465.83299999999997
347,1.0,0.0,2.0,1.0,2.0,3.0,317.053
348,2.0,5.0,1.0,1.0,3.0,1.0,514.573
349,2.0,5.0,2.0,2.0,0.0,2.0,736.646
350,1.0,5.0,2.0,2.0,1.0,2.0,700.396
351,2.0,5.0,1.0,3.0,1.0,2.0,728.729
352,2.0,3.0,2.0,3.0,1.0,3.0,698.969
353,2.0,0.0,1.0,3.0,2.0,1.0,331.23900000000003
354,2.0,3.0,2.0,2.0,0.0,1.0,558.156
355,1.0,5.0,2.0,3.0,2.0,1.0,713.739
356,1.0,1.0,2.0,1.0,2.0,3.0,385.053
357,2.0,5.0,2.0,3.0,1.0,1.0,749.989
358,2.0,5.0,1.0,2.0,2.0,1.0,600.406
359,2.0,5.0,2.0,2.0,3.0,2.0,691.646
360,2.0,2.0,1.0,2.0,2.0,1.0,396.406
361,1.0,2.0,1.0,2.0,3.0,3.0,445.13599999999997
362,2.0,1.0,1.0,3.0,2.0,1.0,399.23900000000003
363,1.0,0.0,1.0,2.0,2.0,1.0,239.156
364,2.0,1.0,2.0,3.0,0.0,3.0,577.969
365,2.0,5.0,1.0,1.0,2.0,1.0,529.573
366,2.0,0.0,2.0,3.0,2.0,3.0,479.96900000000005
367,1.0,0.0,2.0,2.0,2.0,1.0,302.906
368,1.0,4.0,2.0,1.0,3.0,1.0,489.073
369,1.0,2.0,1.0,2.0,2.0,1.0,375.156
370,1.0,1.0,1.0,1.0,2.0,0.0,193.833
371,1.0,5.0,1.0,3.0,3.0,1.0,634.989
372,1.0,2.0,1.0,2.0,1.0,1.0,390.156
373,2.0,4.0,2.0,3.0,3.0,2.0,694.479
374,2.0,5.0,1.0,3.0,0.0,1.0,701.239
375,1.0,5.0,1.0,3.0,0.0,1.0,679.989
376,1.0,5.0,1.0,2.0,1.0,2.0,636.646
377,1.0,4.0,1.0,2.0,3.0,0.0,453.666
378,2.0,5.0,1.0,2.0,3.0,0.0,542.9159999999999
379,1.0,0.0,1.0,2.0,2.0,3.0,324.13599999999997
380,1.0,2.0,2.0,3.0,3.0,3.0,579.719
381,1.0,5.0,2.0,3.0,2.0,2.0,756.229
382,1.0,5.0,1.0,3.0,2.0,3.0,734.969
383,2.0,2.0,2.0,3.0,2.0,1.0,530.989
384,1.0,3.0,2.0,2.0,2.0,1.0,506.906
385,2.0,2.0,1.0,2.0,0.0,0.0,383.916
386,2.0,5.0,1.0,2.0,1.0,0.0,572.9159999999999
387,1.0,0.0,1.0,1.0,1.0,0.0,140.833
388,1.0,5.0,2.0,3.0,1.0,2.0,771.229
389,1.0,4.0,1.0,3.0,3.0,2.0,609.479
390,2.0,5.0,1.0,1.0,3.0,0.0,472.08299999999997
391,1.0,2.0,2.0,3.0,2.0,3.0,594.719
392,1.0,5.0,2.0,1.0,0.0,3.0,687.053
393,2.0,0.0,1.0,2.0,1.0,2.0,317.896
394,1.0,5.0,1.0,3.0,3.0,2.0,677.479
395,1.0,1.0,1.0,3.0,3.0,2.0,405.47900000000004
396,1.0,5.0,2.0,2.0,0.0,2.0,715.396
397,2.0,5.0,1.0,2.0,2.0,2.0,642.896
398,1.0,0.0,2.0,3.0,0.0,1.0,403.73900000000003
399,2.0,1.0,1.0,2.0,2.0,0.0,285.916
400,2.0,2.0,1.0,1.0,1.0,0.0,298.08299999999997
401,2.0,3.0,1.0,3.0,1.0,1.0,550.239
402,1.0,4.0,1.0,3.0,3.0,2.0,609.479
403,2.0,2.0,1.0,2.0,2.0,1.0,396.406
404,2.0,3.0,2.0,3.0,2.0,2.0,641.479
405,1.0,5.0,2.0,3.0,0.0,1.0,743.739
406,2.0,5.0,1.0,2.0,2.0,3.0,685.386
407,2.0,4.0,1.0,2.0,3.0,3.0,602.386
408,1.0,1.0,2.0,3.0,2.0,2.0,484.22900000000004
409,2.0,5.0,1.0,2.0,2.0,1.0,600.406
410,1.0,5.0,1.0,3.0,1.0,2.0,707.479
411,1.0,5.0,2.0,3.0,2.0,0.0,671.249
412,2.0,5.0,2.0,3.0,2.0,2.0,777.479
413,2.0,5.0,1.0,3.0,1.0,0.0,643.749
414,2.0,1.0,1.0,2.0,3.0,1.0,313.406
415,2.0,5.0,1.0,3.0,3.0,3.0,741.219
416,2.0,4.0,1.0,3.0,0.0,1.0,633.239
417,1.0,5.0,2.0,2.0,3.0,1.0,627.906
418,1.0,5.0,1.0,3.0,2.0,3.0,734.969
419,2.0,5.0,2.0,2.0,0.0,0.0,651.6659999999999
420,2.0,3.0,1.0,3.0,3.0,1.0,520.239
421,1.0,5.0,1.0,3.0,0.0,3.0,764.969
422,2.0,5.0,2.0,1.0,0.0,0.0,580.833
423,1.0,5.0,1.0,3.0,2.0,3.0,734.969
424,1.0,4.0,1.0,2.0,2.0,1.0,511.156
425,2.0,4.0,1.0,3.0,1.0,0.0,575.749
426,2.0,1.0,1.0,1.0,3.0,0.0,200.083
427,1.0,3.0,1.0,3.0,2.0,1.0,513.989
428,2.0,5.0,2.0,2.0,2.0,1.0,664.156
429,1.0,5.0,2.0,1.0,2.0,1.0,572.073
430,1.0,4.0,2.0,2.0,1.0,3.0,674.886
431,1.0,5.0,2.0,1.0,2.0,1.0,572.073
432,2.0,5.0,2.0,1.0,2.0,2.0,635.813
433,2.0,2.0,2.0,2.0,3.0,1.0,445.156
434,1.0,0.0,1.0,2.0,0.0,1.0,269.156
435,2.0,5.0,2.0,3.0,0.0,0.0,722.499
436,1.0,5.0,1.0,3.0,3.0,1.0,634.989
437,1.0,5.0,1.0,3.0,3.0,3.0,719.969
438,2.0,0.0,2.0,3.0,3.0,0.0,337.499
439,1.0,5.0,1.0,3.0,3.0,1.0,634.989
440,2.0,3.0,1.0,1.0,2.0,3.0,478.553
441,1.0,5.0,1.0,1.0,1.0,1.0,523.323
442,2.0,5.0,1.0,2.0,2.0,1.0,600.406
443,1.0,2.0,2.0,2.0,3.0,0.0,381.416
444,1.0,5.0,1.0,3.0,2.0,1.0,649.989
445,1.0,5.0,1.0,1.0,2.0,2.0,550.813
446,1.0,0.0,1.0,1.0,0.0,1.0,198.323
447,1.0,4.0,1.0,1.0,3.0,1.0,425.323
448,1.0,5.0,2.0,3.0,2.0,1.0,713.739
449,2.0,5.0,1.0,2.0,0.0,3.0,715.386
450,2.0,5.0,1.0,2.0,0.0,1.0,630.406
451,2.0,4.0,1.0,2.0,2.0,0.0,489.916
452,1.0,5.0,2.0,2.0,2.0,1.0,642.906
453,1.0,5.0,1.0,3.0,1.0,0.0,622.499
