usia,pinjaman,tenor,pemasukan,tanggungan,pekerjaan,pinjaman ke-,telat bayar,donasi
86,1500000,20,2000000,3,Pedagang,1,5,1
61,1900000,6,2000000,3,Wirausaha,3,0,5
69,1600000,4,2500000,5,Guru/Dosen,3,3,2
74,1200000,5,4000000,5,Pekerja Lepas,3,0,4
69,500000,10,2000000,3,Pedagang,2,3,8
52,1600000,3,3000000,3,Guru/Dosen,4,6,8
66,1600000,16,5000000,4,Wirausaha,2,2,8
34,1200000,12,4400000,5,Guru/Dosen,1,6,4
77,700000,5,4500000,3,Guru/Dosen,4,2,4
98,3000000,6,3000000,1,Buruh,5,1,1
97,1500000,10,4500000,5,Pedagang,2,4,8
23,1200000,5,4000000,5,Pekerja Lepas,5,2,0
76,500000,4,4000000,2,Buruh,1,2,1
23,1200000,10,1200000,0,Pedagang,2,2,5
92,500000,3,1500000,2,Pedagang,1,0,0
47,1400000,16,2500000,0,Pekerja Lepas,2,6,1
39,1200000,5,4400000,1,Pedagang,5,0,5
80,1800000,5,5000000,2,Wirausaha,3,3,5
58,1200000,3,4400000,2,Guru/Dosen,3,3,0
37,1200000,16,1500000,1,Buruh,1,6,2
71,500000,6,4500000,2,Pekerja Lepas,4,0,0
20,500000,12,5000000,2,Pedagang,3,5,0
83,500000,20,5000000,4,Pekerja Lepas,5,4,7
82,2000000,10,1200000,3,Pedagang,3,3,3
72,700000,6,4000000,1,Guru/Dosen,1,1,1
94,1200000,6,2000000,3,Pedagang,3,2,5
37,1800000,4,2300000,5,Pedagang,1,6,2
40,2000000,3,4600000,1,Guru/Dosen,3,0,5
100,1000000,16,4600000,5,Pekerja Lepas,4,4,1
55,1000000,4,2000000,2,Pedagang,2,6,6
100,1200000,16,4600000,2,Buruh,3,5,3
30,500000,4,2500000,2,Pedagang,1,3,3
96,2000000,10,4800000,2,Pedagang,5,6,1
54,1000000,10,4800000,4,Pedagang,2,5,2
29,700000,8,1800000,0,Guru/Dosen,2,0,4
86,1200000,16,4400000,3,Pedagang,5,5,2
45,3000000,4,5000000,5,Pedagang,5,5,4
43,3000000,12,4500000,5,Guru/Dosen,2,6,6
29,1600000,6,4000000,1,Pekerja Lepas,1,0,0
82,1600000,12,2000000,5,Buruh,2,6,6
86,1200000,6,3000000,3,Pekerja Lepas,2,2,2
87,3000000,10,3500000,4,Pedagang,5,3,1
25,1000000,10,5000000,0,Wirausaha,5,6,0
99,1800000,8,4800000,5,Guru/Dosen,4,5,0
77,1200000,20,4600000,4,Buruh,1,5,8
60,1600000,4,1500000,0,Pedagang,1,3,3
22,3000000,12,2500000,2,Guru/Dosen,5,6,0
96,500000,4,5000000,5,Buruh,1,3,3
64,3000000,4,1500000,2,Pekerja Lepas,4,2,6
47,1200000,8,1800000,0,Pedagang,5,0,3
74,1200000,10,1800000,4,Buruh,4,3,4
58,1600000,16,2000000,4,Pekerja Lepas,3,0,5
84,2500000,20,1500000,2,Pekerja Lepas,2,3,0
93,2500000,10,4000000,3,Guru/Dosen,5,2,0
94,1000000,10,1800000,2,Buruh,3,4,6
80,2000000,10,3500000,5,Wirausaha,3,0,2
99,1900000,3,2300000,3,Pedagang,2,3,1
36,1200000,4,4600000,2,Guru/Dosen,5,6,0
27,1800000,3,1500000,1,Wirausaha,5,0,6
91,1200000,8,3000000,0,Wirausaha,3,2,7
28,2000000,3,4000000,4,Buruh,2,6,8
33,500000,16,4800000,1,Wirausaha,1,6,0
31,1000000,10,2500000,1,Wirausaha,1,3,0
46,500000,6,4400000,3,Pekerja Lepas,1,6,0
99,1600000,10,4000000,0,Pedagang,2,6,6
70,700000,16,3500000,0,Pedagang,2,0,2
31,1900000,6,4000000,2,Wirausaha,2,0,1
72,1000000,5,4800000,5,Wirausaha,4,0,2
51,500000,6,3000000,3,Pedagang,1,3,5
78,700000,8,2000000,1,Pedagang,1,6,0
64,1900000,4,3500000,4,Pekerja Lepas,4,4,1
45,1200000,20,1200000,3,Wirausaha,4,0,5
82,1600000,10,2000000,0,Pedagang,5,6,1
68,1900000,4,2300000,1,Pedagang,4,0,4
54,1500000,4,1800000,4,Guru/Dosen,4,4,1
86,1400000,6,4600000,5,Pedagang,5,3,5
64,500000,6,4400000,5,Pedagang,3,1,1
87,1000000,5,5000000,5,Pekerja Lepas,2,4,8
90,500000,4,2000000,1,Guru/Dosen,5,4,0
78,1600000,8,3000000,2,Wirausaha,4,5,5
33,500000,5,3000000,2,Buruh,4,0,7
73,500000,12,1200000,5,Pedagang,2,1,0
40,1000000,16,4800000,2,Wirausaha,1,0,1
86,3000000,4,4500000,0,Pekerja Lepas,5,3,7
29,1800000,10,2300000,0,Guru/Dosen,4,2,0
26,1800000,3,2300000,0,Guru/Dosen,1,4,1
38,1500000,12,4800000,0,Pedagang,5,4,0
70,500000,4,3500000,1,Guru/Dosen,2,4,1
67,1200000,8,3000000,2,Pekerja Lepas,1,1,3
26,500000,10,1500000,0,Pedagang,4,3,0
68,2000000,3,4800000,4,Pekerja Lepas,3,5,0
94,2000000,10,2000000,2,Wirausaha,2,6,0
52,3000000,3,4000000,3,Guru/Dosen,5,2,3
82,2500000,12,2500000,1,Wirausaha,3,3,2
27,1200000,16,2300000,4,Guru/Dosen,4,1,2
36,2000000,16,5000000,1,Wirausaha,4,1,2
44,1900000,16,4500000,1,Pedagang,5,5,0
35,1200000,20,4600000,2,Pedagang,2,5,5
51,1900000,10,1500000,0,Guru/Dosen,1,1,4
24,1200000,3,3500000,0,Pedagang,5,5,3
96,1200000,5,4600000,1,Pedagang,3,3,4
53,1000000,4,2500000,3,Wirausaha,4,5,4
24,1000000,16,3000000,2,Pekerja Lepas,4,4,0
50,1400000,12,1500000,0,Pedagang,1,3,5
48,500000,8,1500000,5,Pedagang,2,1,8
22,2000000,4,2500000,5,Guru/Dosen,1,0,0
82,500000,6,4500000,4,Pekerja Lepas,2,5,1
22,1800000,16,3500000,4,Buruh,5,6,8
75,3000000,16,4800000,3,Wirausaha,5,6,5
97,1800000,6,4800000,3,Pekerja Lepas,1,2,1
46,1200000,12,1200000,3,Pedagang,5,2,3
80,700000,8,3000000,4,Pekerja Lepas,3,1,2
27,500000,3,3500000,5,Pekerja Lepas,5,4,3
24,1900000,6,5000000,5,Wirausaha,5,4,0
37,2000000,8,5000000,0,Pedagang,4,6,6
61,500000,10,2500000,4,Pekerja Lepas,3,3,0
28,2500000,16,2000000,1,Guru/Dosen,1,4,7
69,3000000,16,4500000,5,Pedagang,3,2,1
85,1000000,10,4000000,3,Pedagang,1,3,0
70,1200000,3,2000000,4,Guru/Dosen,1,2,6
50,1000000,10,4400000,4,Pedagang,1,5,1
23,500000,10,5000000,1,Buruh,3,0,4
79,500000,16,4800000,2,Guru/Dosen,2,1,4
36,2500000,20,4500000,3,Pekerja Lepas,4,1,5
38,2500000,20,2000000,1,Buruh,5,1,7
36,1900000,10,1800000,5,Pekerja Lepas,5,3,2
30,3000000,16,2500000,1,Buruh,2,0,1
74,500000,20,3500000,3,Buruh,4,3,1
66,2000000,5,2300000,1,Guru/Dosen,1,4,8
36,1000000,10,4000000,3,Guru/Dosen,4,1,1
42,3000000,10,4800000,1,Pekerja Lepas,2,3,3
26,1000000,20,4800000,1,Buruh,2,6,4
30,1200000,4,3000000,5,Pedagang,3,4,1
83,3000000,6,3000000,1,Pedagang,2,5,6
20,1200000,16,1500000,5,Wirausaha,5,2,1
98,2500000,3,1500000,2,Pedagang,3,2,2
38,1400000,4,2000000,0,Buruh,5,0,6
31,1500000,4,5000000,1,Pedagang,1,2,1
47,1500000,8,1200000,3,Guru/Dosen,5,4,8
77,2500000,4,2000000,3,Buruh,2,4,3
71,1900000,4,4500000,5,Buruh,1,6,1
70,500000,10,1800000,3,Pedagang,2,2,2
89,1400000,16,1200000,1,Wirausaha,1,4,0
85,3000000,10,5000000,0,Pedagang,5,6,3
96,2500000,10,3000000,5,Pedagang,2,1,1
46,3000000,8,3500000,0,Buruh,5,6,4
41,1000000,8,4800000,0,Pedagang,4,0,1
90,1400000,20,4800000,3,Pekerja Lepas,5,0,1
100,500000,10,4000000,0,Pekerja Lepas,2,1,4
83,2000000,4,4000000,1,Pedagang,2,6,0
64,1200000,10,4800000,4,Pekerja Lepas,2,5,0
70,2000000,8,1800000,3,Wirausaha,2,2,6
76,500000,16,1800000,3,Guru/Dosen,5,5,6
97,700000,20,3000000,0,Guru/Dosen,5,3,4
77,1200000,5,4500000,5,Pedagang,5,3,8
26,1000000,16,1800000,2,Guru/Dosen,4,4,1
89,1800000,3,4600000,3,Buruh,3,3,3
43,1400000,6,2500000,3,Pedagang,2,0,0
59,1200000,12,4400000,0,Wirausaha,3,1,0
68,1500000,3,1800000,1,Pedagang,1,1,0
93,1500000,12,3000000,1,Guru/Dosen,4,1,4
76,1200000,3,4500000,5,Pedagang,5,5,5
50,1200000,4,5000000,5,Wirausaha,1,6,0
87,3000000,10,3000000,5,Guru/Dosen,4,2,8
100,1200000,5,4500000,4,Guru/Dosen,1,0,7
24,3000000,5,2300000,4,Pedagang,3,1,5
81,1400000,8,4600000,3,Pedagang,5,6,4
96,500000,16,1500000,4,Pedagang,4,5,4
73,500000,5,3000000,1,Guru/Dosen,2,0,5
51,2500000,12,4400000,2,Wirausaha,2,4,4
87,1200000,4,1200000,0,Guru/Dosen,4,0,1
62,1200000,4,2300000,4,Wirausaha,3,3,0
52,2000000,16,2000000,4,Pekerja Lepas,1,1,0
59,1200000,5,3000000,4,Pedagang,5,1,3
85,2000000,8,3500000,2,Pedagang,4,5,4
21,2000000,5,3000000,3,Pedagang,2,4,1
32,1500000,4,3500000,3,Guru/Dosen,4,3,4
83,1000000,8,3500000,2,Guru/Dosen,5,0,3
40,1500000,10,4500000,0,Wirausaha,3,4,6
44,1600000,4,3500000,0,Wirausaha,2,6,6
78,1200000,3,2500000,1,Buruh,4,2,4
44,1200000,10,4400000,1,Wirausaha,3,4,1
98,1800000,16,5000000,3,Pedagang,4,1,5
74,700000,4,4500000,0,Guru/Dosen,5,4,0
35,1400000,16,4400000,2,Guru/Dosen,5,2,4
32,500000,10,4600000,5,Pedagang,5,1,0
22,500000,20,1200000,4,Pekerja Lepas,2,5,2
64,1000000,6,4400000,3,Pekerja Lepas,4,5,8
37,1600000,4,4400000,4,Pekerja Lepas,4,0,3
93,1900000,4,4500000,1,Buruh,2,5,3
78,1800000,8,4400000,2,Wirausaha,4,3,6
58,700000,3,4400000,5,Guru/Dosen,2,0,0
39,3000000,6,4000000,4,Pedagang,5,6,1
94,1200000,6,4000000,1,Wirausaha,5,0,6
23,3000000,8,4400000,2,Guru/Dosen,1,0,0
69,500000,12,4500000,3,Pedagang,4,4,8
77,2500000,10,3500000,3,Pekerja Lepas,2,4,2
59,1600000,6,3000000,0,Pekerja Lepas,4,1,0
62,1200000,10,1800000,4,Pedagang,1,5,0
78,2000000,4,4500000,5,Pedagang,5,3,1
55,3000000,16,4000000,3,Buruh,3,4,1
90,700000,4,5000000,4,Guru/Dosen,1,3,2
75,2500000,4,4600000,2,Guru/Dosen,3,1,6
92,1500000,8,4800000,2,Buruh,1,4,2
40,1800000,5,4400000,3,Buruh,1,4,4
62,1900000,8,2500000,5,Guru/Dosen,2,5,3
89,1500000,3,2300000,1,Pedagang,2,0,1
57,2000000,10,5000000,1,Buruh,5,0,0
66,1200000,12,4000000,5,Wirausaha,4,6,1
80,1500000,20,4400000,5,Wirausaha,4,5,6
22,1400000,16,1200000,5,Guru/Dosen,4,5,0
68,1200000,16,4500000,0,Wirausaha,4,5,1
43,2500000,16,2300000,1,Pedagang,1,4,6
70,1400000,10,4800000,2,Wirausaha,1,1,1
46,1800000,5,4400000,4,Pedagang,3,4,3
82,700000,4,2000000,2,Buruh,3,6,0
89,1000000,20,4500000,5,Pekerja Lepas,4,4,1
96,1200000,20,4500000,5,Pekerja Lepas,1,3,5
92,1200000,3,1200000,2,Pedagang,1,0,2
68,2000000,10,3000000,1,Pedagang,1,6,1
74,1400000,20,4800000,0,Buruh,5,3,1
60,1500000,8,4500000,1,Wirausaha,2,0,7
46,3000000,16,4400000,0,Pedagang,2,0,1
39,1800000,4,4500000,3,Wirausaha,2,4,0
100,1600000,8,3500000,0,Buruh,2,4,1
88,1400000,8,5000000,4,Pekerja Lepas,4,1,0
51,1400000,20,5000000,3,Pedagang,5,4,6
44,1200000,4,4800000,5,Guru/Dosen,2,4,1
20,1500000,10,4000000,2,Guru/Dosen,3,3,0
93,500000,4,1800000,3,Pedagang,1,6,7
74,700000,10,1800000,1,Guru/Dosen,5,4,3
36,500000,10,3500000,4,Buruh,2,4,6
29,1600000,10,2300000,0,Pedagang,5,2,3
20,500000,3,4000000,3,Guru/Dosen,4,3,2
58,2000000,8,1200000,0,Pedagang,4,1,1
60,2500000,8,2000000,1,Guru/Dosen,4,5,6
79,1200000,6,4600000,3,Guru/Dosen,1,0,0
69,1900000,16,1200000,5,Wirausaha,2,2,6
85,1900000,6,1200000,5,Wirausaha,4,6,0
38,1200000,10,4500000,0,Guru/Dosen,1,6,5
38,3000000,6,4400000,2,Guru/Dosen,3,4,2
24,1200000,10,3000000,5,Pekerja Lepas,5,6,6
60,500000,4,1800000,4,Pedagang,1,6,8
55,500000,16,2500000,5,Buruh,3,0,2
45,1200000,10,2300000,5,Buruh,3,3,0
73,1200000,12,4800000,3,Buruh,5,4,0
92,1800000,4,3000000,5,Pedagang,3,6,0
100,1200000,4,4000000,4,Wirausaha,1,4,0
54,700000,4,5000000,2,Guru/Dosen,5,1,1
41,2000000,8,3500000,2,Pedagang,5,6,2
80,1900000,10,4400000,5,Wirausaha,3,6,2
82,1200000,6,2500000,2,Buruh,5,6,6
40,1400000,8,4500000,4,Wirausaha,3,3,4
86,500000,10,5000000,0,Pedagang,3,0,5
76,1400000,20,4400000,3,Pedagang,4,1,5
56,1800000,8,4500000,1,Pekerja Lepas,2,1,1
23,1200000,20,2000000,1,Buruh,4,5,0
96,500000,4,4600000,1,Guru/Dosen,3,4,4
54,1600000,6,2300000,4,Guru/Dosen,1,6,0
25,1200000,5,4800000,1,Pedagang,3,5,1
87,2500000,4,3000000,0,Guru/Dosen,3,0,1
65,1200000,12,1800000,3,Pedagang,4,2,2
25,1800000,8,4000000,2,Pedagang,2,4,3
95,1400000,3,4500000,2,Pedagang,4,5,4
60,1400000,3,2000000,5,Pekerja Lepas,1,5,1
41,3000000,4,5000000,4,Pedagang,5,3,2
80,1800000,12,3000000,3,Guru/Dosen,2,5,1
97,1600000,5,3500000,3,Guru/Dosen,2,5,6
92,1900000,20,5000000,5,Pedagang,1,4,5
47,1800000,16,3000000,5,Buruh,5,3,5
71,2500000,4,1500000,2,Guru/Dosen,3,1,0
73,1000000,8,4000000,5,Pedagang,2,4,3
47,1500000,20,4400000,5,Buruh,5,3,3
23,500000,12,2000000,1,Wirausaha,2,4,1
93,500000,20,1200000,3,Guru/Dosen,5,5,1
31,3000000,10,4500000,2,Pedagang,2,6,2
88,1500000,4,4000000,5,Guru/Dosen,3,3,4
79,2500000,8,2300000,3,Pedagang,3,1,3
68,3000000,10,1800000,4,Pedagang,4,4,8
80,1200000,12,4500000,3,Pedagang,4,6,3
95,500000,12,4400000,3,Wirausaha,3,1,2
73,1200000,5,4800000,5,Wirausaha,1,4,8
35,2000000,10,3500000,4,Buruh,4,4,0
100,1500000,5,4500000,4,Pekerja Lepas,4,4,4
95,1000000,4,4800000,1,Pedagang,2,1,0
