,usia,econ,pekerjaan,pinjaman ke,telat bayar,donasi,score
88,2.0,5.0,2.0,3.0,2.0,2.0,770.259
89,1.0,5.0,1.0,3.0,2.0,1.0,642.769
90,1.0,4.0,1.0,2.0,2.0,3.0,588.9159999999999
91,1.0,0.0,1.0,3.0,0.0,3.0,424.96900000000005
92,2.0,1.0,1.0,3.0,3.0,1.0,373.409
93,2.0,5.0,1.0,3.0,3.0,3.0,730.389
94,2.0,5.0,1.0,2.0,2.0,1.0,593.1859999999999
95,2.0,5.0,2.0,2.0,2.0,1.0,656.9359999999999
96,2.0,2.0,1.0,2.0,3.0,1.0,370.576
97,2.0,3.0,1.0,3.0,2.0,2.0,570.509
98,2.0,5.0,1.0,2.0,0.0,2.0,672.896
99,1.0,2.0,1.0,2.0,2.0,1.0,367.93600000000004
100,1.0,1.0,1.0,1.0,2.0,2.0,271.593
101,2.0,5.0,1.0,2.0,2.0,1.0,593.1859999999999
102,1.0,0.0,2.0,1.0,1.0,1.0,243.463
103,1.0,2.0,1.0,2.0,2.0,1.0,367.93600000000004
104,2.0,5.0,2.0,2.0,3.0,0.0,595.836
105,1.0,5.0,1.0,2.0,2.0,0.0,529.4459999999999
106,2.0,0.0,2.0,3.0,2.0,0.0,345.279
107,2.0,1.0,2.0,2.0,3.0,3.0,451.30600000000004
108,1.0,1.0,2.0,2.0,2.0,3.0,448.66600000000005
109,1.0,4.0,2.0,3.0,3.0,1.0,619.909
110,1.0,2.0,1.0,2.0,0.0,1.0,405.156
111,2.0,3.0,1.0,3.0,0.0,1.0,565.239
112,2.0,4.0,2.0,1.0,3.0,1.0,499.49300000000005
113,2.0,3.0,1.0,2.0,1.0,0.0,433.306
114,1.0,5.0,1.0,1.0,3.0,3.0,567.4730000000001
115,1.0,2.0,1.0,1.0,0.0,1.0,334.323
116,1.0,4.0,1.0,1.0,3.0,3.0,499.47300000000007
117,2.0,3.0,2.0,3.0,0.0,1.0,628.989
118,1.0,2.0,1.0,3.0,2.0,0.0,396.279
119,2.0,5.0,1.0,2.0,2.0,2.0,635.6759999999999
120,1.0,4.0,2.0,2.0,2.0,3.0,652.6659999999999
121,2.0,3.0,1.0,2.0,3.0,0.0,396.086
122,2.0,0.0,2.0,2.0,2.0,3.0,401.91600000000005
123,2.0,5.0,2.0,2.0,2.0,2.0,699.4259999999999
124,1.0,5.0,2.0,2.0,1.0,1.0,654.296
125,2.0,5.0,1.0,3.0,2.0,3.0,748.999
126,2.0,4.0,1.0,3.0,2.0,3.0,680.999
127,2.0,5.0,1.0,1.0,1.0,2.0,583.453
128,2.0,3.0,2.0,1.0,3.0,1.0,431.49300000000005
129,2.0,2.0,1.0,2.0,1.0,1.0,407.796
130,2.0,1.0,2.0,1.0,3.0,2.0,337.983
131,2.0,0.0,2.0,2.0,2.0,3.0,401.91600000000005
132,1.0,3.0,2.0,1.0,3.0,2.0,452.73300000000006
133,2.0,2.0,2.0,3.0,3.0,0.0,462.669
134,1.0,5.0,2.0,3.0,2.0,1.0,706.519
135,1.0,0.0,1.0,2.0,2.0,1.0,231.936
136,2.0,5.0,2.0,3.0,1.0,1.0,746.379
137,1.0,0.0,2.0,3.0,2.0,3.0,451.499
138,1.0,3.0,1.0,2.0,2.0,2.0,478.42600000000004
139,2.0,3.0,1.0,1.0,2.0,0.0,343.86299999999994
140,1.0,4.0,2.0,1.0,3.0,0.0,435.75300000000004
141,1.0,5.0,1.0,1.0,3.0,0.0,440.00300000000004
142,2.0,4.0,1.0,2.0,2.0,0.0,482.69599999999997
143,2.0,5.0,2.0,1.0,3.0,0.0,525.003
144,2.0,3.0,1.0,3.0,2.0,2.0,570.509
145,2.0,3.0,1.0,3.0,3.0,3.0,594.389
146,1.0,5.0,1.0,1.0,3.0,3.0,567.4730000000001
147,2.0,5.0,1.0,3.0,3.0,1.0,645.409
148,1.0,2.0,1.0,3.0,2.0,0.0,396.279
149,2.0,5.0,1.0,3.0,2.0,1.0,664.019
150,2.0,0.0,1.0,2.0,2.0,0.0,210.696
151,1.0,2.0,1.0,2.0,2.0,0.0,325.446
152,2.0,5.0,1.0,3.0,2.0,1.0,664.019
153,1.0,2.0,1.0,2.0,1.0,2.0,429.036
154,2.0,3.0,1.0,2.0,0.0,1.0,494.406
155,2.0,5.0,2.0,2.0,3.0,3.0,723.306
156,1.0,5.0,1.0,2.0,0.0,2.0,651.646
157,1.0,4.0,1.0,3.0,1.0,1.0,593.379
158,1.0,1.0,1.0,2.0,3.0,3.0,366.30600000000004
159,2.0,5.0,2.0,1.0,3.0,1.0,567.493
160,2.0,0.0,1.0,1.0,2.0,1.0,182.353
161,2.0,5.0,2.0,2.0,2.0,1.0,656.9359999999999
162,2.0,5.0,2.0,2.0,3.0,0.0,595.836
163,1.0,5.0,2.0,2.0,3.0,3.0,702.056
164,1.0,2.0,1.0,3.0,1.0,3.0,542.359
165,2.0,0.0,1.0,2.0,1.0,3.0,356.77599999999995
166,2.0,5.0,1.0,1.0,1.0,1.0,540.963
167,1.0,0.0,1.0,3.0,0.0,1.0,339.98900000000003
168,1.0,5.0,2.0,3.0,3.0,1.0,687.909
169,2.0,3.0,1.0,2.0,2.0,1.0,457.186
170,2.0,0.0,1.0,3.0,3.0,3.0,390.389
171,1.0,5.0,2.0,1.0,3.0,3.0,631.2230000000001
172,2.0,4.0,2.0,1.0,0.0,3.0,640.303
173,1.0,4.0,2.0,3.0,3.0,2.0,662.399
174,1.0,5.0,1.0,3.0,0.0,1.0,679.989
175,1.0,3.0,2.0,3.0,3.0,0.0,509.419
176,2.0,2.0,1.0,3.0,3.0,0.0,398.919
177,2.0,2.0,2.0,3.0,1.0,0.0,499.889
178,2.0,4.0,2.0,2.0,2.0,2.0,631.4259999999999
179,2.0,5.0,1.0,3.0,3.0,0.0,602.919
180,2.0,3.0,1.0,1.0,3.0,2.0,410.23300000000006
181,2.0,4.0,1.0,2.0,0.0,3.0,647.386
182,1.0,1.0,1.0,2.0,2.0,2.0,342.42600000000004
183,1.0,5.0,1.0,3.0,2.0,1.0,642.769
184,2.0,5.0,1.0,3.0,2.0,1.0,664.019
185,2.0,5.0,2.0,3.0,0.0,2.0,807.479
186,1.0,0.0,2.0,2.0,3.0,1.0,277.076
187,2.0,2.0,1.0,3.0,2.0,1.0,460.019
188,1.0,5.0,1.0,2.0,3.0,3.0,638.306
189,2.0,1.0,1.0,3.0,1.0,1.0,410.629
190,2.0,4.0,1.0,1.0,2.0,1.0,454.35299999999995
191,1.0,3.0,1.0,3.0,2.0,0.0,464.279
192,1.0,5.0,2.0,2.0,2.0,1.0,635.6859999999999
193,2.0,1.0,1.0,2.0,2.0,0.0,278.696
194,1.0,0.0,2.0,3.0,2.0,0.0,324.029
195,2.0,4.0,1.0,3.0,2.0,1.0,596.019
196,1.0,1.0,1.0,3.0,3.0,1.0,352.159
197,1.0,5.0,2.0,3.0,3.0,3.0,772.889
198,2.0,5.0,1.0,3.0,3.0,0.0,602.919
199,1.0,5.0,1.0,1.0,2.0,1.0,501.10299999999995
200,2.0,4.0,1.0,3.0,2.0,1.0,596.019
201,2.0,3.0,1.0,1.0,2.0,2.0,428.84299999999996
202,1.0,5.0,1.0,2.0,2.0,2.0,614.4259999999999
203,2.0,0.0,1.0,1.0,0.0,0.0,177.083
204,1.0,2.0,1.0,3.0,0.0,2.0,518.479
205,1.0,5.0,1.0,2.0,0.0,0.0,566.6659999999999
206,2.0,3.0,2.0,2.0,2.0,1.0,520.9359999999999
207,2.0,0.0,2.0,3.0,3.0,0.0,326.669
208,1.0,4.0,1.0,2.0,2.0,1.0,503.936
209,2.0,2.0,1.0,3.0,3.0,3.0,526.389
210,2.0,0.0,1.0,2.0,2.0,2.0,295.676
211,2.0,2.0,2.0,3.0,3.0,1.0,505.159
212,1.0,0.0,1.0,3.0,2.0,1.0,302.769
213,2.0,5.0,1.0,3.0,2.0,3.0,748.999
214,1.0,0.0,2.0,3.0,1.0,1.0,385.129
215,2.0,0.0,1.0,3.0,2.0,3.0,408.999
216,1.0,5.0,2.0,2.0,2.0,3.0,720.6659999999999
217,1.0,4.0,2.0,2.0,3.0,3.0,634.056
218,1.0,0.0,1.0,3.0,3.0,0.0,241.66899999999998
219,1.0,2.0,2.0,3.0,3.0,0.0,441.419
220,2.0,3.0,1.0,3.0,2.0,1.0,528.019
221,2.0,5.0,1.0,3.0,2.0,2.0,706.509
222,2.0,5.0,2.0,3.0,2.0,2.0,770.259
223,1.0,4.0,1.0,1.0,2.0,0.0,390.61299999999994
224,2.0,5.0,1.0,3.0,0.0,2.0,743.729
225,2.0,5.0,1.0,3.0,2.0,1.0,664.019
226,2.0,0.0,1.0,2.0,3.0,1.0,234.57600000000002
227,2.0,2.0,2.0,3.0,2.0,1.0,523.769
228,1.0,2.0,1.0,1.0,3.0,1.0,278.493
229,2.0,0.0,1.0,2.0,0.0,2.0,332.896
230,1.0,0.0,2.0,2.0,2.0,1.0,295.686
231,1.0,4.0,1.0,2.0,0.0,2.0,583.646
232,1.0,3.0,1.0,2.0,2.0,3.0,520.916
233,2.0,1.0,2.0,3.0,3.0,3.0,522.139
234,1.0,5.0,1.0,2.0,2.0,3.0,656.9159999999999
235,2.0,5.0,2.0,1.0,3.0,2.0,609.9830000000001
236,1.0,5.0,2.0,3.0,2.0,2.0,749.009
237,1.0,2.0,2.0,3.0,1.0,1.0,521.129
238,1.0,5.0,1.0,2.0,2.0,3.0,656.9159999999999
239,2.0,4.0,1.0,3.0,2.0,0.0,553.529
240,1.0,5.0,2.0,1.0,2.0,1.0,564.853
241,2.0,1.0,1.0,2.0,2.0,2.0,363.67600000000004
242,1.0,1.0,1.0,1.0,0.0,0.0,223.833
243,2.0,4.0,1.0,2.0,3.0,1.0,506.576
244,2.0,5.0,1.0,3.0,0.0,2.0,743.729
245,1.0,5.0,1.0,2.0,2.0,2.0,614.4259999999999
246,2.0,5.0,2.0,2.0,2.0,0.0,614.4459999999999
247,2.0,2.0,2.0,1.0,3.0,1.0,363.49300000000005
248,1.0,5.0,1.0,3.0,0.0,0.0,637.499
249,2.0,5.0,1.0,2.0,3.0,0.0,532.086
250,1.0,5.0,1.0,3.0,2.0,3.0,727.749
251,1.0,0.0,1.0,2.0,2.0,1.0,231.936
252,1.0,5.0,2.0,1.0,1.0,1.0,583.463
253,1.0,1.0,1.0,2.0,2.0,2.0,342.42600000000004
254,2.0,0.0,1.0,1.0,3.0,1.0,163.743
255,2.0,3.0,2.0,2.0,0.0,2.0,600.646
256,1.0,5.0,1.0,3.0,2.0,1.0,642.769
257,2.0,1.0,1.0,2.0,3.0,3.0,387.55600000000004
258,1.0,5.0,2.0,2.0,3.0,1.0,617.076
259,2.0,3.0,1.0,1.0,2.0,1.0,386.35299999999995
260,1.0,5.0,1.0,3.0,3.0,1.0,624.159
261,2.0,5.0,1.0,2.0,3.0,1.0,574.576
262,2.0,3.0,2.0,2.0,0.0,2.0,600.646
263,1.0,5.0,1.0,3.0,3.0,1.0,624.159
264,2.0,2.0,1.0,3.0,3.0,2.0,483.899
265,2.0,5.0,2.0,2.0,3.0,3.0,723.306
266,2.0,5.0,1.0,1.0,0.0,0.0,517.083
267,1.0,1.0,2.0,2.0,3.0,3.0,430.05600000000004
268,1.0,3.0,1.0,2.0,2.0,1.0,435.93600000000004
269,1.0,3.0,1.0,3.0,2.0,1.0,506.769
270,2.0,5.0,1.0,3.0,3.0,0.0,602.919
271,1.0,5.0,2.0,3.0,3.0,0.0,645.419
272,1.0,5.0,2.0,1.0,3.0,3.0,631.2230000000001
273,2.0,0.0,1.0,1.0,2.0,1.0,182.353
274,2.0,2.0,2.0,3.0,3.0,0.0,462.669
275,1.0,5.0,2.0,1.0,2.0,1.0,564.853
276,2.0,0.0,1.0,3.0,2.0,3.0,408.999
277,2.0,2.0,1.0,3.0,0.0,1.0,497.23900000000003
278,1.0,1.0,2.0,3.0,2.0,2.0,477.009
279,2.0,2.0,1.0,2.0,0.0,2.0,468.896
280,1.0,1.0,1.0,2.0,2.0,0.0,257.446
281,1.0,5.0,2.0,3.0,2.0,0.0,664.029
282,1.0,2.0,2.0,2.0,2.0,3.0,516.666
283,1.0,4.0,1.0,2.0,0.0,1.0,541.156
284,1.0,0.0,1.0,2.0,2.0,1.0,231.936
285,2.0,5.0,2.0,3.0,3.0,0.0,666.669
286,2.0,0.0,1.0,3.0,0.0,3.0,446.21900000000005
287,1.0,5.0,1.0,2.0,2.0,3.0,656.9159999999999
288,2.0,1.0,2.0,2.0,3.0,3.0,451.30600000000004
289,2.0,5.0,1.0,1.0,3.0,0.0,461.25300000000004
290,2.0,4.0,1.0,1.0,2.0,0.0,411.86299999999994
291,2.0,5.0,1.0,1.0,3.0,0.0,461.25300000000004
292,1.0,5.0,1.0,2.0,3.0,3.0,638.306
293,1.0,5.0,1.0,2.0,0.0,1.0,609.156
294,2.0,5.0,1.0,2.0,0.0,1.0,630.406
295,1.0,5.0,1.0,3.0,0.0,1.0,679.989
296,2.0,4.0,1.0,1.0,2.0,2.0,496.84299999999996
297,1.0,3.0,1.0,1.0,3.0,0.0,304.00300000000004
298,2.0,2.0,1.0,3.0,2.0,1.0,460.019
299,2.0,1.0,1.0,3.0,0.0,2.0,471.72900000000004
300,1.0,3.0,1.0,3.0,3.0,1.0,488.159
301,1.0,0.0,1.0,3.0,0.0,2.0,382.47900000000004
302,2.0,0.0,2.0,3.0,2.0,1.0,387.769
303,1.0,5.0,1.0,3.0,2.0,2.0,685.259
304,2.0,5.0,1.0,2.0,1.0,1.0,611.796
305,1.0,5.0,1.0,2.0,2.0,3.0,656.9159999999999
306,1.0,3.0,2.0,3.0,2.0,0.0,528.029
307,1.0,4.0,1.0,3.0,3.0,2.0,598.649
308,2.0,5.0,2.0,3.0,0.0,3.0,849.969
309,1.0,0.0,1.0,2.0,1.0,0.0,208.05599999999998
310,2.0,5.0,1.0,1.0,0.0,1.0,559.573
311,1.0,3.0,1.0,3.0,2.0,3.0,591.749
312,2.0,3.0,2.0,3.0,2.0,0.0,549.279
313,2.0,0.0,2.0,1.0,2.0,1.0,246.103
314,2.0,5.0,1.0,3.0,2.0,0.0,621.529
315,1.0,5.0,2.0,2.0,2.0,1.0,635.6859999999999
316,1.0,4.0,1.0,1.0,1.0,1.0,451.71299999999997
317,2.0,3.0,1.0,3.0,2.0,0.0,485.529
318,1.0,3.0,1.0,2.0,3.0,0.0,374.836
319,1.0,2.0,1.0,2.0,3.0,0.0,306.836
320,2.0,0.0,2.0,3.0,2.0,1.0,387.769
321,1.0,3.0,1.0,2.0,2.0,1.0,435.93600000000004
322,2.0,3.0,2.0,3.0,1.0,1.0,610.379
323,2.0,5.0,1.0,3.0,1.0,1.0,682.629
324,2.0,5.0,1.0,3.0,3.0,0.0,602.919
325,2.0,5.0,1.0,2.0,3.0,2.0,617.066
326,2.0,1.0,2.0,1.0,1.0,2.0,375.203
327,2.0,4.0,1.0,3.0,3.0,1.0,577.409
328,1.0,5.0,1.0,2.0,2.0,2.0,614.4259999999999
329,2.0,2.0,1.0,3.0,3.0,2.0,483.899
330,2.0,5.0,1.0,3.0,2.0,0.0,621.529
331,2.0,2.0,1.0,1.0,2.0,2.0,360.843
332,2.0,1.0,1.0,2.0,1.0,3.0,424.77599999999995
333,2.0,0.0,2.0,1.0,0.0,0.0,240.833
334,1.0,5.0,1.0,2.0,3.0,1.0,553.326
335,2.0,5.0,2.0,3.0,3.0,3.0,794.139
336,1.0,5.0,1.0,3.0,3.0,2.0,666.649
337,1.0,5.0,1.0,1.0,2.0,1.0,501.10299999999995
338,2.0,0.0,1.0,3.0,2.0,1.0,324.019
339,1.0,4.0,1.0,2.0,1.0,1.0,522.5459999999999
340,2.0,4.0,1.0,3.0,2.0,1.0,596.019
341,2.0,5.0,1.0,3.0,2.0,0.0,621.529
342,2.0,5.0,1.0,3.0,3.0,3.0,730.389
343,2.0,3.0,1.0,2.0,2.0,0.0,414.69599999999997
344,2.0,2.0,2.0,1.0,2.0,3.0,467.08299999999997
345,1.0,5.0,1.0,2.0,2.0,1.0,571.9359999999999
346,1.0,5.0,1.0,1.0,2.0,0.0,458.61299999999994
347,1.0,0.0,2.0,1.0,2.0,3.0,309.83299999999997
348,2.0,5.0,1.0,1.0,3.0,1.0,503.74300000000005
349,2.0,5.0,2.0,2.0,0.0,2.0,736.646
350,1.0,5.0,2.0,2.0,1.0,2.0,696.7860000000001
351,2.0,5.0,1.0,3.0,1.0,2.0,725.119
352,2.0,3.0,2.0,3.0,1.0,3.0,695.359
353,2.0,0.0,1.0,3.0,2.0,1.0,324.019
354,2.0,3.0,2.0,2.0,0.0,1.0,558.156
355,1.0,5.0,2.0,3.0,2.0,1.0,706.519
356,1.0,1.0,2.0,1.0,2.0,3.0,377.83299999999997
357,2.0,5.0,2.0,3.0,1.0,1.0,746.379
358,2.0,5.0,1.0,2.0,2.0,1.0,593.1859999999999
359,2.0,5.0,2.0,2.0,3.0,2.0,680.816
360,2.0,2.0,1.0,2.0,2.0,1.0,389.18600000000004
361,1.0,2.0,1.0,2.0,3.0,3.0,434.30600000000004
362,2.0,1.0,1.0,3.0,2.0,1.0,392.019
363,1.0,0.0,1.0,2.0,2.0,1.0,231.936
364,2.0,1.0,2.0,3.0,0.0,3.0,577.969
365,2.0,5.0,1.0,1.0,2.0,1.0,522.353
366,2.0,0.0,2.0,3.0,2.0,3.0,472.749
367,1.0,0.0,2.0,2.0,2.0,1.0,295.686
368,1.0,4.0,2.0,1.0,3.0,1.0,478.24300000000005
369,1.0,2.0,1.0,2.0,2.0,1.0,367.93600000000004
370,1.0,1.0,1.0,1.0,2.0,0.0,186.613
371,1.0,5.0,1.0,3.0,3.0,1.0,624.159
372,1.0,2.0,1.0,2.0,1.0,1.0,386.546
373,2.0,4.0,2.0,3.0,3.0,2.0,683.649
374,2.0,5.0,1.0,3.0,0.0,1.0,701.239
375,1.0,5.0,1.0,3.0,0.0,1.0,679.989
376,1.0,5.0,1.0,2.0,1.0,2.0,633.0360000000001
377,1.0,4.0,1.0,2.0,3.0,0.0,442.836
378,2.0,5.0,1.0,2.0,3.0,0.0,532.086
379,1.0,0.0,1.0,2.0,2.0,3.0,316.916
380,1.0,2.0,2.0,3.0,3.0,3.0,568.889
381,1.0,5.0,2.0,3.0,2.0,2.0,749.009
382,1.0,5.0,1.0,3.0,2.0,3.0,727.749
383,2.0,2.0,2.0,3.0,2.0,1.0,523.769
384,1.0,3.0,2.0,2.0,2.0,1.0,499.686
385,2.0,2.0,1.0,2.0,0.0,0.0,383.916
386,2.0,5.0,1.0,2.0,1.0,0.0,569.306
387,1.0,0.0,1.0,1.0,1.0,0.0,137.223
388,1.0,5.0,2.0,3.0,1.0,2.0,767.619
389,1.0,4.0,1.0,3.0,3.0,2.0,598.649
390,2.0,5.0,1.0,1.0,3.0,0.0,461.25300000000004
391,1.0,2.0,2.0,3.0,2.0,3.0,587.499
392,1.0,5.0,2.0,1.0,0.0,3.0,687.053
393,2.0,0.0,1.0,2.0,1.0,2.0,314.286
394,1.0,5.0,1.0,3.0,3.0,2.0,666.649
395,1.0,1.0,1.0,3.0,3.0,2.0,394.649
396,1.0,5.0,2.0,2.0,0.0,2.0,715.396
397,2.0,5.0,1.0,2.0,2.0,2.0,635.6759999999999
398,1.0,0.0,2.0,3.0,0.0,1.0,403.73900000000003
399,2.0,1.0,1.0,2.0,2.0,0.0,278.696
400,2.0,2.0,1.0,1.0,1.0,0.0,294.47299999999996
401,2.0,3.0,1.0,3.0,1.0,1.0,546.629
402,1.0,4.0,1.0,3.0,3.0,2.0,598.649
403,2.0,2.0,1.0,2.0,2.0,1.0,389.18600000000004
404,2.0,3.0,2.0,3.0,2.0,2.0,634.259
405,1.0,5.0,2.0,3.0,0.0,1.0,743.739
406,2.0,5.0,1.0,2.0,2.0,3.0,678.1659999999999
407,2.0,4.0,1.0,2.0,3.0,3.0,591.556
408,1.0,1.0,2.0,3.0,2.0,2.0,477.009
409,2.0,5.0,1.0,2.0,2.0,1.0,593.1859999999999
410,1.0,5.0,1.0,3.0,1.0,2.0,703.869
411,1.0,5.0,2.0,3.0,2.0,0.0,664.029
412,2.0,5.0,2.0,3.0,2.0,2.0,770.259
413,2.0,5.0,1.0,3.0,1.0,0.0,640.139
414,2.0,1.0,1.0,2.0,3.0,1.0,302.576
415,2.0,5.0,1.0,3.0,3.0,3.0,730.389
416,2.0,4.0,1.0,3.0,0.0,1.0,633.239
417,1.0,5.0,2.0,2.0,3.0,1.0,617.076
418,1.0,5.0,1.0,3.0,2.0,3.0,727.749
419,2.0,5.0,2.0,2.0,0.0,0.0,651.6659999999999
420,2.0,3.0,1.0,3.0,3.0,1.0,509.409
421,1.0,5.0,1.0,3.0,0.0,3.0,764.969
422,2.0,5.0,2.0,1.0,0.0,0.0,580.833
423,1.0,5.0,1.0,3.0,2.0,3.0,727.749
424,1.0,4.0,1.0,2.0,2.0,1.0,503.936
425,2.0,4.0,1.0,3.0,1.0,0.0,572.139
426,2.0,1.0,1.0,1.0,3.0,0.0,189.253
427,1.0,3.0,1.0,3.0,2.0,1.0,506.769
428,2.0,5.0,2.0,2.0,2.0,1.0,656.9359999999999
429,1.0,5.0,2.0,1.0,2.0,1.0,564.853
430,1.0,4.0,2.0,2.0,1.0,3.0,671.2760000000001
431,1.0,5.0,2.0,1.0,2.0,1.0,564.853
432,2.0,5.0,2.0,1.0,2.0,2.0,628.593
433,2.0,2.0,2.0,2.0,3.0,1.0,434.326
434,1.0,0.0,1.0,2.0,0.0,1.0,269.156
435,2.0,5.0,2.0,3.0,0.0,0.0,722.499
436,1.0,5.0,1.0,3.0,3.0,1.0,624.159
437,1.0,5.0,1.0,3.0,3.0,3.0,709.139
438,2.0,0.0,2.0,3.0,3.0,0.0,326.669
439,1.0,5.0,1.0,3.0,3.0,1.0,624.159
440,2.0,3.0,1.0,1.0,2.0,3.0,471.33299999999997
441,1.0,5.0,1.0,1.0,1.0,1.0,519.713
442,2.0,5.0,1.0,2.0,2.0,1.0,593.1859999999999
443,1.0,2.0,2.0,2.0,3.0,0.0,370.586
444,1.0,5.0,1.0,3.0,2.0,1.0,642.769
445,1.0,5.0,1.0,1.0,2.0,2.0,543.593
446,1.0,0.0,1.0,1.0,0.0,1.0,198.323
