Gender;Usia;Pinjaman;Tenor;Pemasukan;Tanggungan;Pekerjaan;Donasi
M;32;1200000;4;4000000;0;Guru/Dosen;1
M;52;1900000;3;5000000;2;Guru/Dosen;0
M;83;1500000;16;4500000;0;Buruh;2
M;42;1400000;12;2000000;4;Pedagang;4
F;31;2500000;3;4400000;1;Pedagang;5
M;25;2500000;5;4800000;0;Buruh;0
M;80;1200000;3;5000000;5;Buruh;1
F;41;2500000;16;1500000;0;Pedagang;8
M;51;1400000;8;4400000;1;Wirausaha;4
M;84;1600000;20;2000000;4;Pekerja Lepas;1
M;64;2500000;5;2300000;2;Pekerja Lepas;8
F;25;1200000;8;2500000;1;Pedagang;1
F;45;1600000;3;2000000;3;Guru/Dosen;2
F;30;1200000;10;4400000;1;Pekerja Lepas;0
M;35;1400000;20;4600000;2;Wirausaha;3
F;29;2000000;4;2500000;5;Wirausaha;1
M;58;1800000;12;1500000;1;Pekerja Lepas;2
M;91;1900000;6;3000000;1;Guru/Dosen;3
F;72;1000000;10;1200000;1;Guru/Dosen;1
M;73;2500000;6;4800000;4;Pedagang;4
M;21;1400000;8;4800000;4;Pedagang;5
M;70;1800000;10;3000000;1;Pedagang;0
F;55;1400000;5;3000000;2;Pekerja Lepas;5
M;45;1200000;10;2300000;2;Guru/Dosen;4
M;71;2000000;12;4600000;5;Pekerja Lepas;0
M;100;700000;6;4600000;1;Pedagang;1
M;40;1200000;8;4800000;4;Wirausaha;0
F;22;3000000;8;1500000;0;Wirausaha;6
F;53;1200000;16;4500000;3;Pekerja Lepas;2
M;100;1200000;8;1800000;5;Pedagang;3
M;100;700000;4;4600000;3;Buruh;0
F;48;1900000;12;4600000;1;Pekerja Lepas;1
M;44;500000;16;2000000;0;Pekerja Lepas;1
M;23;2500000;10;4800000;2;Wirausaha;2
M;55;2500000;10;2000000;1;Wirausaha;5
M;59;1400000;4;4400000;3;Pedagang;0
F;71;1400000;12;2300000;2;Wirausaha;1
F;46;1000000;8;2000000;2;Pekerja Lepas;7
M;41;3000000;4;1800000;5;Buruh;3
M;69;500000;16;4500000;3;Buruh;3
F;88;1000000;6;1800000;3;Pedagang;1
M;41;1600000;20;1500000;0;Pedagang;1
M;38;2000000;20;3500000;5;Guru/Dosen;1
M;44;700000;8;4500000;1;Pedagang;6
F;96;1500000;5;4600000;4;Pedagang;4
M;62;1000000;5;4600000;2;Pedagang;1
M;56;1500000;3;5000000;2;Pedagang;5
F;36;500000;3;1200000;3;Pedagang;5
M;61;1200000;16;3500000;3;Pekerja Lepas;5
M;85;2000000;12;5000000;2;Pekerja Lepas;1
M;51;1200000;4;5000000;1;Pekerja Lepas;4
M;82;1000000;10;1800000;4;Guru/Dosen;6
M;65;500000;10;3500000;2;Pedagang;6
M;58;1900000;10;2500000;0;Pedagang;6
M;32;1000000;10;2500000;3;Guru/Dosen;1
F;40;1200000;3;1800000;0;Pekerja Lepas;2
F;69;1800000;10;2000000;1;Wirausaha;1
F;96;1200000;5;4600000;4;Pekerja Lepas;8
M;45;500000;20;1500000;5;Guru/Dosen;0
F;64;1200000;10;3500000;5;Pekerja Lepas;5
M;42;1600000;6;3500000;1;Pedagang;4
M;78;2500000;20;3000000;0;Pekerja Lepas;0
M;40;2000000;10;5000000;4;Guru/Dosen;2
M;61;1800000;10;1500000;4;Wirausaha;1
M;69;500000;3;4600000;2;Pekerja Lepas;5
M;52;1400000;4;1200000;3;Pekerja Lepas;0
M;50;1200000;8;3500000;3;Pedagang;8
M;50;700000;4;2000000;4;Pedagang;7
M;63;1900000;20;5000000;1;Pedagang;1
M;49;2500000;4;4800000;0;Pekerja Lepas;4
M;93;1600000;12;5000000;3;Guru/Dosen;3
M;29;1400000;12;4000000;5;Wirausaha;0
M;34;1800000;12;4500000;2;Pekerja Lepas;1
F;54;1400000;12;2000000;4;Pedagang;0
M;57;1600000;6;2300000;2;Pedagang;3
M;39;2000000;10;2500000;2;Guru/Dosen;0
M;89;1200000;10;1500000;4;Pedagang;3
F;45;2500000;3;4600000;2;Wirausaha;7
M;46;700000;10;3500000;4;Buruh;6
M;47;1500000;3;1200000;1;Pekerja Lepas;2
M;41;1200000;12;4400000;5;Buruh;4
F;32;1500000;3;2500000;0;Guru/Dosen;1
M;71;1500000;10;5000000;1;Pedagang;0
F;94;700000;6;1200000;5;Pedagang;1
F;43;500000;4;3000000;1;Pedagang;2
M;81;2500000;16;3500000;4;Guru/Dosen;4
M;88;1800000;12;4500000;5;Pedagang;6
M;67;1500000;20;2000000;0;Wirausaha;8
F;49;700000;10;2300000;4;Pekerja Lepas;2
F;86;1200000;12;3500000;1;Wirausaha;5
F;90;700000;16;4600000;3;Pedagang;2
M;23;2000000;10;4600000;3;Guru/Dosen;3
M;55;1500000;16;2000000;1;Pedagang;5
M;83;1000000;12;2500000;0;Wirausaha;4
M;68;1400000;6;3000000;3;Pekerja Lepas;2
M;37;500000;8;2000000;1;Pedagang;3
F;73;1200000;4;4400000;3;Pekerja Lepas;1
F;28;1400000;16;4500000;3;Wirausaha;2
F;100;500000;4;4600000;3;Wirausaha;6
M;26;1200000;5;4800000;5;Buruh;4
M;56;500000;6;4000000;5;Pedagang;4
F;87;1200000;4;4500000;3;Buruh;4
M;86;1500000;10;5000000;5;Wirausaha;5
M;62;1600000;10;1500000;5;Pekerja Lepas;7
M;22;1800000;10;5000000;2;Buruh;4
F;39;2000000;10;3000000;4;Pedagang;6
F;22;1900000;6;2300000;5;Wirausaha;2
F;71;700000;4;3000000;5;Guru/Dosen;1
M;45;1900000;10;4000000;0;Guru/Dosen;4
F;32;1000000;20;3500000;2;Wirausaha;4
M;41;1200000;8;3500000;1;Pedagang;1
M;26;1200000;3;3000000;5;Pedagang;4
M;31;1000000;20;5000000;5;Pedagang;7
M;49;500000;12;2000000;4;Pekerja Lepas;1
M;100;1500000;3;1500000;3;Pedagang;6
F;42;1600000;3;4500000;5;Guru/Dosen;2
M;61;500000;4;4800000;0;Guru/Dosen;4
M;44;500000;12;3000000;4;Buruh;4
M;64;2500000;8;4400000;3;Guru/Dosen;0
M;22;2000000;16;4500000;1;Pekerja Lepas;2
M;91;1900000;12;4400000;3;Pedagang;6
M;29;1400000;4;4800000;2;Buruh;5
M;37;2500000;12;3000000;2;Wirausaha;0
M;72;1000000;3;4600000;4;Pekerja Lepas;4
F;91;1400000;12;5000000;2;Buruh;1
F;82;700000;10;1800000;2;Pekerja Lepas;1
M;62;1500000;4;4000000;5;Pedagang;6
F;29;1900000;5;4400000;3;Pedagang;0
F;63;3000000;16;3500000;1;Buruh;6
F;85;2000000;5;2500000;2;Guru/Dosen;2
F;29;1200000;10;4000000;0;Pedagang;2
M;89;1500000;10;4500000;0;Buruh;2
M;89;1900000;4;3000000;1;Wirausaha;2
F;62;1800000;4;1500000;4;Pedagang;1
F;42;1500000;4;1200000;4;Wirausaha;6
M;83;1200000;3;4500000;5;Pedagang;5
M;57;1500000;4;3000000;4;Buruh;3
M;27;500000;10;1200000;0;Pedagang;0
F;96;1500000;5;2000000;2;Wirausaha;1
M;33;3000000;3;3500000;1;Guru/Dosen;1
M;33;2500000;10;2000000;1;Pedagang;3
M;44;1800000;6;4000000;4;Pedagang;0
M;65;500000;4;4400000;3;Guru/Dosen;4
M;30;1200000;20;3000000;1;Pedagang;4
F;45;2500000;8;1800000;3;Buruh;2
F;83;1200000;6;4500000;1;Pedagang;0
M;34;2000000;16;1500000;4;Pedagang;0
M;88;500000;8;3000000;2;Pekerja Lepas;0
F;37;1400000;12;4600000;4;Pedagang;1
M;22;700000;20;4800000;0;Wirausaha;0
F;67;1900000;6;1500000;5;Pekerja Lepas;0
F;36;1500000;5;4000000;0;Pedagang;3
F;60;3000000;6;3500000;3;Wirausaha;5
M;59;700000;8;1800000;2;Guru/Dosen;6
M;32;1400000;5;2000000;1;Pedagang;2
F;62;3000000;16;1500000;3;Pekerja Lepas;7
M;28;1200000;4;5000000;0;Wirausaha;6
F;91;1800000;4;1200000;5;Buruh;3
M;85;1400000;6;1800000;0;Pedagang;4
M;72;3000000;3;2500000;5;Pedagang;6
F;34;1200000;4;3500000;3;Pedagang;2
M;58;1200000;5;4600000;2;Guru/Dosen;3
M;57;1800000;3;4400000;0;Guru/Dosen;1
F;98;1200000;4;4000000;3;Pedagang;1
F;96;1500000;6;3500000;1;Wirausaha;2
M;50;1200000;10;4500000;1;Buruh;6
M;40;1200000;5;5000000;5;Pedagang;1
M;38;1200000;12;4500000;5;Guru/Dosen;1
F;50;1900000;8;5000000;3;Pekerja Lepas;5
F;44;1900000;3;1800000;4;Pedagang;0
M;44;1000000;10;2000000;5;Pedagang;0
F;77;3000000;20;1800000;0;Pekerja Lepas;6
M;29;1800000;10;2500000;1;Pedagang;2
F;32;1200000;20;3500000;0;Pedagang;1
F;87;1000000;10;1200000;3;Guru/Dosen;6
F;86;500000;10;4400000;0;Pedagang;1
F;55;1000000;4;1800000;0;Pedagang;6
F;38;1900000;20;4800000;3;Pekerja Lepas;3
F;89;2000000;6;4600000;0;Pekerja Lepas;0
M;80;1200000;5;5000000;2;Guru/Dosen;0
F;88;500000;4;1800000;1;Guru/Dosen;4
F;68;1400000;5;4000000;5;Buruh;4
M;29;1400000;4;1800000;3;Wirausaha;0
M;23;500000;3;3500000;4;Pedagang;3
F;42;1200000;4;4000000;3;Pekerja Lepas;4
M;27;1600000;4;4600000;4;Guru/Dosen;5
M;81;2000000;4;4500000;1;Pedagang;1
M;30;1500000;16;4500000;4;Buruh;5
M;25;2000000;16;1800000;4;Pekerja Lepas;3
F;42;1200000;3;2300000;2;Wirausaha;1
M;86;1000000;4;1800000;1;Buruh;2
M;91;1200000;12;1500000;0;Pedagang;5
F;95;1200000;10;2300000;4;Buruh;7
M;41;2500000;4;4600000;2;Buruh;1
M;31;1000000;12;4800000;4;Pekerja Lepas;1
F;94;700000;10;5000000;5;Pedagang;0
M;33;500000;10;3500000;4;Pedagang;5
F;31;1200000;12;1800000;5;Pedagang;2
F;79;2000000;4;2000000;4;Pekerja Lepas;1
M;27;1600000;4;4400000;4;Guru/Dosen;0
M;81;1500000;5;2000000;3;Pedagang;2
M;47;1400000;5;5000000;4;Buruh;1
F;57;2500000;20;4000000;3;Buruh;0
F;98;2000000;16;4600000;1;Pedagang;1
M;80;1400000;6;2300000;2;Pekerja Lepas;5
M;80;700000;3;1500000;5;Pedagang;5
F;25;2000000;20;3500000;0;Guru/Dosen;7
F;96;1200000;6;2000000;5;Pekerja Lepas;3
M;64;500000;8;4400000;0;Buruh;2
F;71;1200000;4;1800000;4;Pekerja Lepas;2
M;99;1400000;4;4800000;1;Pedagang;0
M;44;2000000;20;4800000;4;Wirausaha;2
M;27;1200000;3;2000000;4;Pedagang;2
M;33;500000;8;2500000;4;Pedagang;6
F;76;700000;10;3500000;3;Pekerja Lepas;3
F;41;2500000;4;1200000;1;Pedagang;3
M;76;700000;6;1200000;0;Pedagang;1
M;43;1400000;4;2300000;0;Pedagang;4
M;91;500000;6;1500000;0;Pedagang;3
F;91;1800000;10;4800000;2;Guru/Dosen;0
M;57;1600000;10;4800000;4;Guru/Dosen;1
F;99;3000000;16;3000000;2;Buruh;7
M;81;500000;16;5000000;1;Wirausaha;0
F;52;3000000;16;1200000;5;Wirausaha;3
M;79;1800000;10;4000000;1;Guru/Dosen;4
M;93;1900000;5;1800000;4;Buruh;3
M;56;1500000;10;2500000;1;Pedagang;5
M;84;2000000;12;3500000;1;Wirausaha;6
M;43;1400000;10;2300000;3;Pedagang;6
M;21;1200000;5;4400000;0;Guru/Dosen;1
M;46;3000000;4;1200000;1;Guru/Dosen;1
M;81;1600000;4;1500000;0;Pekerja Lepas;0
M;75;500000;5;5000000;3;Buruh;5
M;89;3000000;4;4600000;2;Wirausaha;4
M;91;500000;3;2300000;2;Guru/Dosen;3
M;57;500000;3;4500000;3;Guru/Dosen;6
F;58;1200000;10;1500000;1;Buruh;6
M;98;1200000;8;4000000;0;Buruh;1
M;50;500000;12;4500000;4;Wirausaha;0
F;42;1600000;20;1200000;1;Pekerja Lepas;5
F;23;1500000;4;2000000;5;Wirausaha;1
M;31;700000;4;2300000;0;Wirausaha;6
M;94;700000;4;3000000;0;Guru/Dosen;0
M;38;1600000;16;4800000;2;Pedagang;1
F;96;1600000;20;2300000;2;Pedagang;0
M;40;700000;20;4400000;0;Guru/Dosen;3
M;35;700000;10;4500000;1;Guru/Dosen;0
M;97;1500000;10;3500000;3;Guru/Dosen;4
M;64;1600000;10;2000000;5;Pekerja Lepas;8
F;39;1000000;10;3000000;4;Buruh;1
M;32;1600000;6;5000000;4;Pedagang;0
M;63;3000000;4;4500000;1;Buruh;7
F;54;700000;4;4600000;2;Buruh;5
M;90;1000000;3;3500000;3;Pedagang;1
M;31;1800000;4;1500000;3;Pedagang;1
M;74;500000;3;4500000;5;Pedagang;0
M;20;1000000;5;2000000;0;Guru/Dosen;5
F;29;1200000;4;1200000;2;Wirausaha;6
F;56;3000000;10;3000000;4;Pekerja Lepas;7
F;28;1200000;8;5000000;5;Wirausaha;0
F;50;1900000;12;4000000;3;Buruh;1
F;66;1500000;4;4600000;3;Buruh;4
M;45;1200000;8;4800000;5;Pedagang;2
F;48;1000000;4;2300000;3;Guru/Dosen;1
M;30;2000000;20;2500000;3;Guru/Dosen;6
M;51;1400000;16;4400000;5;Pedagang;1
F;65;2000000;3;1200000;5;Buruh;0
M;36;1200000;12;2500000;1;Pekerja Lepas;4
M;45;1400000;6;3000000;0;Buruh;2
F;63;1800000;10;1200000;4;Pedagang;0
F;64;1000000;20;1200000;2;Pekerja Lepas;0
M;34;500000;4;3500000;5;Guru/Dosen;2
M;58;1400000;12;1500000;2;Buruh;1
F;28;1400000;8;1200000;0;Wirausaha;3
M;100;1200000;4;3000000;0;Buruh;1
M;92;1200000;6;4800000;0;Guru/Dosen;1
M;98;1200000;3;5000000;4;Pekerja Lepas;4
M;63;1200000;10;4000000;1;Pekerja Lepas;0
M;69;1500000;16;2500000;2;Guru/Dosen;0
M;67;1200000;6;2000000;5;Pedagang;7
M;46;1200000;4;1500000;4;Pedagang;1
F;43;1800000;4;4800000;2;Wirausaha;0
M;48;1600000;3;1500000;5;Guru/Dosen;3
M;82;1200000;10;4800000;5;Buruh;5
F;94;2500000;10;4800000;0;Wirausaha;5
M;21;500000;4;1800000;2;Wirausaha;3
F;60;3000000;10;2300000;5;Guru/Dosen;6
F;41;1500000;16;4500000;0;Pekerja Lepas;3
M;47;1500000;5;4600000;1;Pedagang;3
M;52;1200000;5;4600000;4;Guru/Dosen;3
F;86;1200000;20;1200000;3;Guru/Dosen;0
M;72;700000;6;2500000;3;Guru/Dosen;2
M;32;1600000;10;2000000;1;Pedagang;1
M;94;500000;4;4500000;3;Pekerja Lepas;3
M;60;2500000;5;3500000;3;Buruh;3
F;67;1200000;12;2500000;0;Buruh;6
M;74;700000;8;4400000;3;Buruh;3
M;59;3000000;4;1200000;5;Pekerja Lepas;6
M;70;1500000;3;4800000;5;Pekerja Lepas;2
M;64;500000;10;4000000;2;Pekerja Lepas;3
M;94;2500000;10;2000000;3;Pedagang;6
M;71;1900000;8;2500000;2;Buruh;0
M;79;500000;4;5000000;1;Buruh;2
M;52;3000000;5;1800000;2;Pedagang;2
F;30;1000000;10;1800000;4;Guru/Dosen;7
M;23;500000;3;2500000;5;Buruh;8
M;65;700000;6;4000000;5;Wirausaha;5
M;28;500000;10;2000000;1;Pedagang;7
M;32;1200000;4;4800000;1;Buruh;1
M;68;1500000;3;5000000;0;Pekerja Lepas;0
M;87;1400000;3;4800000;5;Pedagang;6
F;31;500000;5;1500000;2;Buruh;0
M;64;500000;20;1500000;2;Pekerja Lepas;1
F;60;1200000;6;4000000;3;Wirausaha;5
M;21;3000000;4;1800000;2;Wirausaha;0
M;82;1800000;20;2500000;1;Wirausaha;0
M;76;1400000;16;1800000;1;Wirausaha;5
M;51;1400000;10;4500000;5;Pekerja Lepas;5
M;43;1200000;8;1500000;0;Wirausaha;0
M;84;1500000;4;4400000;1;Buruh;1
M;54;500000;10;2300000;3;Buruh;6
M;87;3000000;5;4500000;4;Buruh;1
M;20;500000;16;3000000;5;Pedagang;2
M;57;1500000;4;4800000;2;Wirausaha;5
M;32;3000000;3;3500000;0;Pedagang;2
M;54;1500000;12;1200000;3;Pedagang;1
F;80;1900000;20;4400000;2;Pekerja Lepas;3
M;66;2500000;4;4800000;5;Buruh;5
M;54;1000000;10;4600000;3;Pekerja Lepas;1
M;50;1200000;4;4400000;1;Guru/Dosen;0
M;61;1400000;10;2500000;4;Pekerja Lepas;6
M;51;500000;10;3500000;1;Wirausaha;3
M;96;700000;10;2300000;1;Pedagang;7
M;93;3000000;16;2300000;1;Wirausaha;4
F;69;1800000;5;4600000;1;Pedagang;3
M;56;1800000;10;4800000;2;Guru/Dosen;5
M;89;2000000;12;4600000;2;Buruh;8
M;31;2500000;16;1200000;4;Pekerja Lepas;1
F;69;1200000;16;2500000;4;Buruh;3
M;30;1900000;4;1200000;1;Wirausaha;8
F;74;1500000;4;2500000;0;Guru/Dosen;3
M;88;1800000;20;3000000;1;Pedagang;4
M;78;1900000;3;4500000;0;Wirausaha;1
M;31;2500000;16;1800000;0;Pedagang;5
M;91;700000;5;2300000;4;Pedagang;8
M;57;3000000;16;4000000;5;Wirausaha;2
M;27;700000;10;3000000;3;Wirausaha;4
M;80;700000;16;4500000;2;Wirausaha;0
M;44;1200000;3;4400000;0;Pedagang;1
M;23;500000;4;3500000;3;Pedagang;1
M;71;1200000;10;4600000;5;Wirausaha;1
M;64;1200000;20;1200000;4;Buruh;1
F;96;500000;8;3000000;3;Wirausaha;0
M;43;1200000;8;4600000;3;Buruh;5
M;56;3000000;6;1800000;0;Buruh;8
M;29;1000000;20;2000000;4;Pedagang;6
M;66;500000;12;1500000;0;Pekerja Lepas;0
M;74;1800000;12;4800000;1;Buruh;1
M;97;1400000;10;4800000;0;Pedagang;0
M;65;2500000;5;3000000;5;Pedagang;5
M;48;1200000;5;3500000;5;Guru/Dosen;5
F;78;700000;12;4400000;2;Pedagang;7
F;25;1600000;4;1800000;3;Pedagang;1
M;75;1800000;8;3000000;1;Pedagang;2
M;67;1200000;4;4600000;4;Pedagang;0
M;79;1900000;8;2300000;4;Buruh;3
M;22;1500000;5;1800000;4;Pedagang;6
M;44;1900000;6;5000000;3;Wirausaha;3
F;60;1200000;20;5000000;1;Guru/Dosen;6
M;52;1200000;16;4600000;4;Buruh;6
F;82;1800000;12;3000000;3;Buruh;0
F;45;2500000;3;5000000;0;Wirausaha;8
F;45;1400000;12;2300000;3;Pedagang;0
M;51;1200000;8;2000000;0;Guru/Dosen;5
M;95;2000000;10;3000000;0;Buruh;6
M;84;500000;12;4500000;4;Guru/Dosen;1
M;77;1500000;12;4600000;5;Pedagang;0
M;90;1800000;10;1500000;1;Pedagang;0
F;53;1900000;10;2300000;2;Pekerja Lepas;4
M;35;1500000;20;3000000;2;Pedagang;6
F;70;1800000;3;2300000;5;Buruh;0
M;83;2500000;6;1800000;4;Buruh;0
M;58;3000000;8;1500000;3;Guru/Dosen;7
M;61;500000;20;4400000;5;Pedagang;5
F;70;1400000;4;4600000;0;Pedagang;8
M;60;1200000;4;4800000;5;Buruh;4
M;75;1900000;10;3000000;4;Wirausaha;2
M;55;1200000;4;3000000;0;Buruh;1
F;32;1000000;16;4400000;4;Guru/Dosen;0
M;76;1800000;4;4500000;4;Pedagang;7
M;45;1800000;4;4400000;1;Guru/Dosen;8
F;74;700000;6;4000000;2;Pedagang;3
M;65;500000;4;2000000;1;Pekerja Lepas;0
M;67;1200000;4;2300000;4;Wirausaha;1
M;85;1200000;4;5000000;1;Guru/Dosen;5
M;34;1800000;16;1500000;4;Pedagang;8
F;67;500000;6;4500000;1;Guru/Dosen;1
F;34;1200000;20;4000000;4;Guru/Dosen;4
F;56;3000000;4;2300000;0;Pedagang;0
F;94;1600000;5;2000000;4;Wirausaha;2
M;86;1200000;4;4600000;3;Pedagang;0
F;83;2000000;4;5000000;1;Pedagang;1
F;38;1000000;20;4800000;3;Guru/Dosen;3
F;67;1000000;3;3500000;0;Pedagang;5
M;40;500000;5;4000000;3;Pekerja Lepas;1
M;30;500000;20;1200000;0;Wirausaha;6
F;53;1200000;3;2500000;3;Pedagang;1
M;71;3000000;16;2000000;2;Wirausaha;0
F;42;700000;4;5000000;1;Wirausaha;0
M;32;1200000;3;4400000;3;Wirausaha;8
M;75;1200000;10;2000000;1;Guru/Dosen;6
M;82;500000;3;1800000;5;Pedagang;6
M;90;1900000;10;3000000;1;Pedagang;6
M;76;1200000;16;2300000;2;Guru/Dosen;1
M;69;3000000;10;4400000;3;Pekerja Lepas;0
F;51;3000000;5;3000000;5;Pedagang;1
M;93;1000000;4;4500000;3;Pedagang;7
F;93;1500000;10;4400000;3;Pedagang;3
F;21;1600000;4;3500000;1;Buruh;6
M;57;1200000;3;1500000;0;Buruh;0
M;41;2500000;4;2000000;2;Pedagang;5
M;86;1900000;12;3000000;0;Pekerja Lepas;8
M;37;2000000;12;5000000;5;Pedagang;3
F;75;2500000;3;4000000;1;Pedagang;0
F;68;1400000;4;3500000;2;Pedagang;0
F;42;1500000;3;1800000;0;Wirausaha;6
M;87;1200000;10;4400000;4;Wirausaha;6
F;69;1500000;4;1200000;2;Buruh;3
M;82;1200000;4;4600000;0;Guru/Dosen;0
M;96;1200000;5;4600000;4;Guru/Dosen;5
F;49;500000;20;4800000;2;Pedagang;2
F;89;2500000;4;1800000;5;Guru/Dosen;3
M;41;1400000;20;4000000;2;Pedagang;1
M;36;500000;3;2500000;3;Pekerja Lepas;0
M;27;2500000;4;4600000;4;Pedagang;3
F;21;1400000;4;1200000;2;Pekerja Lepas;0
M;21;1200000;10;2300000;3;Pedagang;4
F;90;700000;8;4000000;0;Buruh;5
M;21;1200000;4;4600000;1;Buruh;6
F;67;2000000;5;3000000;0;Pekerja Lepas;7
F;69;1000000;10;4400000;3;Pedagang;1
M;42;1000000;10;5000000;2;Pedagang;0
F;58;1200000;4;4000000;0;Guru/Dosen;3
F;44;1900000;5;4000000;1;Pedagang;1
F;99;700000;20;4400000;0;Guru/Dosen;0
F;75;1500000;20;4600000;1;Guru/Dosen;5
M;44;1000000;20;5000000;1;Pekerja Lepas;0
F;64;2000000;5;2500000;3;Buruh;1
M;78;1200000;3;1500000;4;Guru/Dosen;1
F;61;3000000;8;4500000;5;Guru/Dosen;2
M;26;1200000;6;4600000;1;Pedagang;0
M;30;1200000;4;4400000;5;Pedagang;2
M;78;500000;5;4000000;5;Guru/Dosen;6
F;58;1200000;6;4600000;5;Pedagang;0
M;38;1200000;4;5000000;5;Buruh;6
F;73;1800000;12;1500000;3;Buruh;1
M;73;1500000;20;4500000;5;Wirausaha;6
F;59;700000;4;4000000;4;Guru/Dosen;6
F;31;3000000;10;3000000;4;Pedagang;0
M;49;500000;20;4600000;1;Pekerja Lepas;1
M;90;500000;10;4000000;2;Guru/Dosen;1
M;26;1800000;6;5000000;3;Guru/Dosen;4
M;39;1600000;16;1500000;3;Pekerja Lepas;2
M;39;1400000;20;3000000;2;Pedagang;2
M;31;2500000;6;4500000;0;Pekerja Lepas;4
M;37;1200000;12;4400000;1;Guru/Dosen;1
M;48;500000;3;1200000;5;Wirausaha;0
F;57;1500000;4;4400000;1;Pekerja Lepas;4
M;78;1900000;10;1500000;4;Guru/Dosen;0
M;85;1200000;12;3500000;0;Pedagang;1
M;31;500000;4;1800000;2;Pekerja Lepas;1
M;52;1500000;16;3000000;2;Wirausaha;2
F;97;500000;3;5000000;4;Buruh;3
M;33;1900000;6;4400000;4;Guru/Dosen;2
M;55;1800000;4;3500000;0;Pekerja Lepas;0
M;28;1200000;20;2500000;4;Wirausaha;7
M;78;1600000;6;1500000;4;Buruh;3
M;96;1900000;20;2000000;4;Pedagang;0
M;97;700000;20;1800000;0;Pedagang;3
M;96;1600000;4;2000000;1;Pekerja Lepas;6
M;86;2500000;10;1200000;5;Pedagang;5
M;64;3000000;20;3000000;3;Pedagang;8
M;31;1200000;6;2300000;0;Pedagang;3
M;64;500000;4;4600000;2;Buruh;0
M;81;2500000;20;2500000;0;Pedagang;8
M;47;2000000;3;1500000;3;Guru/Dosen;6
M;80;1200000;16;3500000;4;Pekerja Lepas;0
M;92;1200000;12;1500000;1;Pekerja Lepas;2
F;25;1200000;20;1500000;1;Pekerja Lepas;1
F;57;1200000;5;4800000;1;Buruh;4
M;75;1200000;4;1200000;3;Pekerja Lepas;5
M;36;1000000;20;4500000;4;Buruh;3
M;75;3000000;3;4400000;1;Wirausaha;1
M;62;700000;16;4000000;2;Pedagang;1
F;40;2500000;10;1200000;3;Pedagang;6
F;78;1200000;12;4600000;4;Pekerja Lepas;0
M;51;1200000;4;2000000;2;Wirausaha;1
M;57;700000;16;1500000;5;Pedagang;1
M;27;500000;10;2500000;2;Pedagang;2
M;62;2500000;3;4800000;4;Buruh;0
