;approval;gender;usia;pinjaman;tenor;pemasukan;tanggungan;pekerjaan;donasi
206;Y;F;36;1500000;5;4000000;0;Pedagang;3
207;Y;F;60;3000000;6;3500000;3;Wirausaha;5
208;N;M;59;700000;8;1800000;2;Guru/Dosen;6
209;N;M;32;1400000;5;2000000;1;Pedagang;2
210;N;F;62;3000000;16;1500000;3;Pekerja Lepas;7
211;Y;M;28;1200000;4;5000000;0;Wirausaha;6
212;N;F;91;1800000;4;1200000;5;Buruh;3
213;N;M;85;1400000;6;1800000;0;Pedagang;4
214;Y;M;72;3000000;3;2500000;5;Pedagang;6
215;Y;F;34;1200000;4;3500000;3;Pedagang;2
216;N;M;58;1200000;5;4600000;2;Guru/Dosen;3
217;Y;M;57;1800000;3;4400000;0;Guru/Dosen;1
218;Y;F;98;1200000;4;4000000;3;Pedagang;1
219;Y;F;96;1500000;6;3500000;1;Wirausaha;2
220;Y;M;50;1200000;10;4500000;1;Buruh;6
221;Y;M;40;1200000;5;5000000;5;Pedagang;1
222;N;M;38;1200000;12;4500000;5;Guru/Dosen;1
223;Y;F;50;1900000;8;5000000;3;Pekerja Lepas;5
224;N;F;44;1900000;3;1800000;4;Pedagang;0
225;N;M;44;1000000;10;2000000;5;Pedagang;0
226;N;F;77;3000000;20;1800000;0;Pekerja Lepas;6
227;Y;M;29;1800000;10;2500000;1;Pedagang;2
228;Y;F;32;1200000;20;3500000;0;Pedagang;1
229;N;F;87;1000000;10;1200000;3;Guru/Dosen;6
230;Y;F;86;500000;10;4400000;0;Pedagang;1
231;N;F;55;1000000;4;1800000;0;Pedagang;6
232;Y;F;38;1900000;20;4800000;3;Pekerja Lepas;3
233;Y;F;89;2000000;6;4600000;0;Pekerja Lepas;0
234;N;M;80;1200000;5;5000000;2;Guru/Dosen;0
235;N;F;88;500000;4;1800000;1;Guru/Dosen;4
236;N;F;68;1400000;5;4000000;5;Buruh;4
237;N;M;29;1400000;4;1800000;3;Wirausaha;0
238;Y;M;23;500000;3;3500000;4;Pedagang;3
239;Y;F;42;1200000;4;4000000;3;Pekerja Lepas;4
240;N;M;27;1600000;4;4600000;4;Guru/Dosen;5
241;Y;M;81;2000000;4;4500000;1;Pedagang;1
242;N;M;30;1500000;16;4500000;4;Buruh;5
243;N;M;25;2000000;16;1800000;4;Pekerja Lepas;3
244;Y;F;42;1200000;3;2300000;2;Wirausaha;1
245;N;M;86;1000000;4;1800000;1;Buruh;2
246;N;M;91;1200000;12;1500000;0;Pedagang;5
247;N;F;95;1200000;10;2300000;4;Buruh;7
248;N;M;41;2500000;4;4600000;2;Buruh;1
249;Y;M;31;1000000;12;4800000;4;Pekerja Lepas;1
250;Y;F;94;700000;10;5000000;5;Pedagang;0
251;Y;M;33;500000;10;3500000;4;Pedagang;5
252;N;F;31;1200000;12;1800000;5;Pedagang;2
253;N;F;79;2000000;4;2000000;4;Pekerja Lepas;1
254;N;M;27;1600000;4;4400000;4;Guru/Dosen;0
255;N;M;81;1500000;5;2000000;3;Pedagang;2
256;N;M;47;1400000;5;5000000;4;Buruh;1
257;N;F;57;2500000;20;4000000;3;Buruh;0
258;Y;F;98;2000000;16;4600000;1;Pedagang;1
259;Y;M;80;1400000;6;2300000;2;Pekerja Lepas;5
260;N;M;80;700000;3;1500000;5;Pedagang;5
261;Y;F;25;2000000;20;3500000;0;Guru/Dosen;7
262;N;F;96;1200000;6;2000000;5;Pekerja Lepas;3
263;N;M;64;500000;8;4400000;0;Buruh;2
264;N;F;71;1200000;4;1800000;4;Pekerja Lepas;2
265;Y;M;99;1400000;4;4800000;1;Pedagang;0
266;Y;M;44;2000000;20;4800000;4;Wirausaha;2
267;N;M;27;1200000;3;2000000;4;Pedagang;2
268;Y;M;33;500000;8;2500000;4;Pedagang;6
269;Y;F;76;700000;10;3500000;3;Pekerja Lepas;3
270;N;F;41;2500000;4;1200000;1;Pedagang;3
271;N;M;76;700000;6;1200000;0;Pedagang;1
272;Y;M;43;1400000;4;2300000;0;Pedagang;4
273;N;M;91;500000;6;1500000;0;Pedagang;3
274;N;F;91;1800000;10;4800000;2;Guru/Dosen;0
275;N;M;57;1600000;10;4800000;4;Guru/Dosen;1
276;N;F;99;3000000;16;3000000;2;Buruh;7
277;Y;M;81;500000;16;5000000;1;Wirausaha;0
278;N;F;52;3000000;16;1200000;5;Wirausaha;3
279;N;M;79;1800000;10;4000000;1;Guru/Dosen;4
280;N;M;93;1900000;5;1800000;4;Buruh;3
281;Y;M;56;1500000;10;2500000;1;Pedagang;5
282;Y;M;84;2000000;12;3500000;1;Wirausaha;6
283;Y;M;43;1400000;10;2300000;3;Pedagang;6
284;Y;M;21;1200000;5;4400000;0;Guru/Dosen;1
285;N;M;46;3000000;4;1200000;1;Guru/Dosen;1
286;N;M;81;1600000;4;1500000;0;Pekerja Lepas;0
287;N;M;75;500000;5;5000000;3;Buruh;5
288;Y;M;89;3000000;4;4600000;2;Wirausaha;4
289;N;M;91;500000;3;2300000;2;Guru/Dosen;3
290;Y;M;57;500000;3;4500000;3;Guru/Dosen;6
291;N;F;58;1200000;10;1500000;1;Buruh;6
292;N;M;98;1200000;8;4000000;0;Buruh;1
293;Y;M;50;500000;12;4500000;4;Wirausaha;0
294;N;F;42;1600000;20;1200000;1;Pekerja Lepas;5
295;N;F;23;1500000;4;2000000;5;Wirausaha;1
296;Y;M;31;700000;4;2300000;0;Wirausaha;6
297;N;M;94;700000;4;3000000;0;Guru/Dosen;0
298;Y;M;38;1600000;16;4800000;2;Pedagang;1
299;Y;F;96;1600000;20;2300000;2;Pedagang;0
300;Y;M;40;700000;20;4400000;0;Guru/Dosen;3
301;N;M;35;700000;10;4500000;1;Guru/Dosen;0
302;N;M;97;1500000;10;3500000;3;Guru/Dosen;4
303;N;M;64;1600000;10;2000000;5;Pekerja Lepas;8
304;N;F;39;1000000;10;3000000;4;Buruh;1
305;Y;M;32;1600000;6;5000000;4;Pedagang;0
306;Y;M;63;3000000;4;4500000;1;Buruh;7
307;Y;F;54;700000;4;4600000;2;Buruh;5
308;Y;M;90;1000000;3;3500000;3;Pedagang;1
309;N;M;31;1800000;4;1500000;3;Pedagang;1
310;Y;M;74;500000;3;4500000;5;Pedagang;0
311;N;M;20;1000000;5;2000000;0;Guru/Dosen;5
312;N;F;29;1200000;4;1200000;2;Wirausaha;6
313;Y;F;56;3000000;10;3000000;4;Pekerja Lepas;7
314;Y;F;28;1200000;8;5000000;5;Wirausaha;0
315;N;F;50;1900000;12;4000000;3;Buruh;1
316;N;F;66;1500000;4;4600000;3;Buruh;4
317;Y;M;45;1200000;8;4800000;5;Pedagang;2
318;N;F;48;1000000;4;2300000;3;Guru/Dosen;1
319;Y;M;30;2000000;20;2500000;3;Guru/Dosen;6
320;Y;M;51;1400000;16;4400000;5;Pedagang;1
321;N;F;65;2000000;3;1200000;5;Buruh;0
322;Y;M;36;1200000;12;2500000;1;Pekerja Lepas;4
323;N;M;45;1400000;6;3000000;0;Buruh;2
324;N;F;63;1800000;10;1200000;4;Pedagang;0
325;N;F;64;1000000;20;1200000;2;Pekerja Lepas;0
326;N;M;34;500000;4;3500000;5;Guru/Dosen;2
327;N;M;58;1400000;12;1500000;2;Buruh;1
328;N;F;28;1400000;8;1200000;0;Wirausaha;3
329;N;M;100;1200000;4;3000000;0;Buruh;1
330;N;M;92;1200000;6;4800000;0;Guru/Dosen;1
331;Y;M;98;1200000;3;5000000;4;Pekerja Lepas;4
332;Y;M;63;1200000;10;4000000;1;Pekerja Lepas;0
333;N;M;69;1500000;16;2500000;2;Guru/Dosen;0
334;N;M;67;1200000;6;2000000;5;Pedagang;7
335;N;M;46;1200000;4;1500000;4;Pedagang;1
336;Y;F;43;1800000;4;4800000;2;Wirausaha;0
337;N;M;48;1600000;3;1500000;5;Guru/Dosen;3
338;N;M;82;1200000;10;4800000;5;Buruh;5
339;Y;F;94;2500000;10;4800000;0;Wirausaha;5
340;N;M;21;500000;4;1800000;2;Wirausaha;3
341;Y;F;60;3000000;10;2300000;5;Guru/Dosen;6
342;Y;F;41;1500000;16;4500000;0;Pekerja Lepas;3
343;Y;M;47;1500000;5;4600000;1;Pedagang;3
344;N;M;52;1200000;5;4600000;4;Guru/Dosen;3
345;N;F;86;1200000;20;1200000;3;Guru/Dosen;0
346;N;M;72;700000;6;2500000;3;Guru/Dosen;2
347;N;M;32;1600000;10;2000000;1;Pedagang;1
348;Y;M;94;500000;4;4500000;3;Pekerja Lepas;3
349;N;M;60;2500000;5;3500000;3;Buruh;3
350;N;F;67;1200000;12;2500000;0;Buruh;6
351;N;M;74;700000;8;4400000;3;Buruh;3
352;N;M;59;3000000;4;1200000;5;Pekerja Lepas;6
353;Y;M;70;1500000;3;4800000;5;Pekerja Lepas;2
354;Y;M;64;500000;10;4000000;2;Pekerja Lepas;3
355;N;M;94;2500000;10;2000000;3;Pedagang;6
356;N;M;71;1900000;8;2500000;2;Buruh;0
357;N;M;79;500000;4;5000000;1;Buruh;2
358;N;M;52;3000000;5;1800000;2;Pedagang;2
359;N;F;30;1000000;10;1800000;4;Guru/Dosen;7
360;Y;M;23;500000;3;2500000;5;Buruh;8
361;Y;M;65;700000;6;4000000;5;Wirausaha;5
362;N;M;28;500000;10;2000000;1;Pedagang;7
363;Y;M;32;1200000;4;4800000;1;Buruh;1
364;Y;M;68;1500000;3;5000000;0;Pekerja Lepas;0
365;Y;M;87;1400000;3;4800000;5;Pedagang;6
366;N;F;31;500000;5;1500000;2;Buruh;0
367;N;M;64;500000;20;1500000;2;Pekerja Lepas;1
368;Y;F;60;1200000;6;4000000;3;Wirausaha;5
369;N;M;21;3000000;4;1800000;2;Wirausaha;0
370;Y;M;82;1800000;20;2500000;1;Wirausaha;0
371;N;M;76;1400000;16;1800000;1;Wirausaha;5
372;Y;M;51;1400000;10;4500000;5;Pekerja Lepas;5
373;N;M;43;1200000;8;1500000;0;Wirausaha;0
374;N;M;84;1500000;4;4400000;1;Buruh;1
375;Y;M;54;500000;10;2300000;3;Buruh;6
376;N;M;87;3000000;5;4500000;4;Buruh;1
377;Y;M;20;500000;16;3000000;5;Pedagang;2
378;Y;M;57;1500000;4;4800000;2;Wirausaha;5
379;Y;M;32;3000000;3;3500000;0;Pedagang;2
380;N;M;54;1500000;12;1200000;3;Pedagang;1
381;Y;F;80;1900000;20;4400000;2;Pekerja Lepas;3
382;N;M;66;2500000;4;4800000;5;Buruh;5
383;Y;M;54;1000000;10;4600000;3;Pekerja Lepas;1
384;N;M;50;1200000;4;4400000;1;Guru/Dosen;0
385;Y;M;61;1400000;10;2500000;4;Pekerja Lepas;6
386;Y;M;51;500000;10;3500000;1;Wirausaha;3
387;Y;M;96;700000;10;2300000;1;Pedagang;7
388;Y;M;93;3000000;16;2300000;1;Wirausaha;4
389;Y;F;69;1800000;5;4600000;1;Pedagang;3
390;N;M;56;1800000;10;4800000;2;Guru/Dosen;5
391;N;M;89;2000000;12;4600000;2;Buruh;8
392;N;M;31;2500000;16;1200000;4;Pekerja Lepas;1
393;N;F;69;1200000;16;2500000;4;Buruh;3
394;N;M;30;1900000;4;1200000;1;Wirausaha;8
395;N;F;74;1500000;4;2500000;0;Guru/Dosen;3
396;Y;M;88;1800000;20;3000000;1;Pedagang;4
397;Y;M;78;1900000;3;4500000;0;Wirausaha;1
398;N;M;31;2500000;16;1800000;0;Pedagang;5
399;Y;M;91;700000;5;2300000;4;Pedagang;8
400;Y;M;57;3000000;16;4000000;5;Wirausaha;2
401;Y;M;27;700000;10;3000000;3;Wirausaha;4
402;Y;M;80;700000;16;4500000;2;Wirausaha;0
403;Y;M;44;1200000;3;4400000;0;Pedagang;1
404;Y;M;23;500000;4;3500000;3;Pedagang;1
405;Y;M;71;1200000;10;4600000;5;Wirausaha;1
406;N;M;64;1200000;20;1200000;4;Buruh;1
407;Y;F;96;500000;8;3000000;3;Wirausaha;0
408;N;M;43;1200000;8;4600000;3;Buruh;5
409;N;M;56;3000000;6;1800000;0;Buruh;8
410;N;M;29;1000000;20;2000000;4;Pedagang;6
411;N;M;66;500000;12;1500000;0;Pekerja Lepas;0
412;N;M;74;1800000;12;4800000;1;Buruh;1
413;Y;M;97;1400000;10;4800000;0;Pedagang;0
414;Y;M;65;2500000;5;3000000;5;Pedagang;5
415;N;M;48;1200000;5;3500000;5;Guru/Dosen;5
416;Y;F;78;700000;12;4400000;2;Pedagang;7
417;N;F;25;1600000;4;1800000;3;Pedagang;1
418;Y;M;75;1800000;8;3000000;1;Pedagang;2
419;Y;M;67;1200000;4;4600000;4;Pedagang;0
420;N;M;79;1900000;8;2300000;4;Buruh;3
421;N;M;22;1500000;5;1800000;4;Pedagang;6
422;Y;M;44;1900000;6;5000000;3;Wirausaha;3
423;Y;F;60;1200000;20;5000000;1;Guru/Dosen;6
424;Y;M;52;1200000;16;4600000;4;Buruh;6
425;N;F;82;1800000;12;3000000;3;Buruh;0
426;Y;F;45;2500000;3;5000000;0;Wirausaha;8
427;Y;F;45;1400000;12;2300000;3;Pedagang;0
428;N;M;51;1200000;8;2000000;0;Guru/Dosen;5
429;N;M;95;2000000;10;3000000;0;Buruh;6
430;N;M;84;500000;12;4500000;4;Guru/Dosen;1
431;Y;M;77;1500000;12;4600000;5;Pedagang;0
432;N;M;90;1800000;10;1500000;1;Pedagang;0
433;Y;F;53;1900000;10;2300000;2;Pekerja Lepas;4
434;Y;M;35;1500000;20;3000000;2;Pedagang;6
435;N;F;70;1800000;3;2300000;5;Buruh;0
436;N;M;83;2500000;6;1800000;4;Buruh;0
437;N;M;58;3000000;8;1500000;3;Guru/Dosen;7
438;Y;M;61;500000;20;4400000;5;Pedagang;5
439;Y;F;70;1400000;4;4600000;0;Pedagang;8
440;N;M;60;1200000;4;4800000;5;Buruh;4
441;Y;M;75;1900000;10;3000000;4;Wirausaha;2
442;N;M;55;1200000;4;3000000;0;Buruh;1
443;N;F;32;1000000;16;4400000;4;Guru/Dosen;0
444;Y;M;76;1800000;4;4500000;4;Pedagang;7
445;Y;M;45;1800000;4;4400000;1;Guru/Dosen;8
446;Y;F;74;700000;6;4000000;2;Pedagang;3
447;N;M;65;500000;4;2000000;1;Pekerja Lepas;0
448;Y;M;67;1200000;4;2300000;4;Wirausaha;1
449;N;M;85;1200000;4;5000000;1;Guru/Dosen;5
450;N;M;34;1800000;16;1500000;4;Pedagang;8
451;N;F;67;500000;6;4500000;1;Guru/Dosen;1
452;N;F;34;1200000;20;4000000;4;Guru/Dosen;4
453;Y;F;56;3000000;4;2300000;0;Pedagang;0
454;N;F;94;1600000;5;2000000;4;Wirausaha;2
455;Y;M;86;1200000;4;4600000;3;Pedagang;0
456;Y;F;83;2000000;4;5000000;1;Pedagang;1
457;N;F;38;1000000;20;4800000;3;Guru/Dosen;3
458;Y;F;67;1000000;3;3500000;0;Pedagang;5
459;Y;M;40;500000;5;4000000;3;Pekerja Lepas;1
460;N;M;30;500000;20;1200000;0;Wirausaha;6
461;Y;F;53;1200000;3;2500000;3;Pedagang;1
462;N;M;71;3000000;16;2000000;2;Wirausaha;0
463;Y;F;42;700000;4;5000000;1;Wirausaha;0
464;Y;M;32;1200000;3;4400000;3;Wirausaha;8
465;N;M;75;1200000;10;2000000;1;Guru/Dosen;6
466;N;M;82;500000;3;1800000;5;Pedagang;6
467;Y;M;90;1900000;10;3000000;1;Pedagang;6
468;N;M;76;1200000;16;2300000;2;Guru/Dosen;1
469;Y;M;69;3000000;10;4400000;3;Pekerja Lepas;0
470;Y;F;51;3000000;5;3000000;5;Pedagang;1
