usia;pinjaman;tenor;pemasukan;tanggungan;pekerjaan;pinjaman ke-;telat bayar;donasi
26;1800000;5;3000000;4;Buruh;3;3;6
60;2000000;8;4400000;0;Pekerja Lepas;1;4;197
28;1000000;5;3000000;5;Pekerja Lepas;5;0;266
31;500000;4;1200000;4;Pedagang;1;2;97
84;2500000;12;1200000;1;Wirausaha;4;0;93
64;2000000;3;4800000;0;Buruh;5;6;95
45;1600000;3;2500000;2;Pekerja Lepas;4;0;183
78;500000;10;3000000;5;Guru/Dosen;4;6;265
31;3000000;10;2300000;1;Wirausaha;1;1;62
66;500000;16;3500000;1;Guru/Dosen;2;4;248
47;2000000;10;4400000;1;Wirausaha;3;0;174
28;500000;12;1500000;3;Guru/Dosen;2;3;269
29;700000;12;3500000;5;Pedagang;4;3;237
86;2000000;8;4500000;1;Pedagang;1;4;104
69;1200000;4;1800000;1;Buruh;2;2;19
84;1200000;3;2000000;3;Pedagang;4;5;70
23;1900000;6;2500000;5;Guru/Dosen;3;4;74
82;2000000;8;4500000;0;Guru/Dosen;2;6;37
52;1000000;20;1800000;3;Pekerja Lepas;2;6;10
50;500000;3;2500000;5;Guru/Dosen;4;0;29
82;1400000;6;5000000;4;Guru/Dosen;2;4;9
70;2000000;8;4500000;1;Guru/Dosen;3;2;240
20;1400000;8;2300000;0;Pekerja Lepas;3;1;296
33;1900000;10;3500000;4;Guru/Dosen;5;4;50
31;1800000;10;3000000;4;Pedagang;3;2;264
51;1900000;5;2000000;2;Buruh;4;1;219
75;500000;4;1200000;0;Guru/Dosen;3;4;109
43;1500000;3;4500000;5;Guru/Dosen;2;4;58
79;1200000;8;5000000;1;Pekerja Lepas;5;1;196
86;1600000;4;4600000;2;Pekerja Lepas;4;4;185
38;1200000;20;1500000;3;Pedagang;5;4;263
95;3000000;10;1500000;0;Buruh;5;3;185
52;3000000;6;4800000;4;Pedagang;5;3;155
86;2500000;16;4600000;5;Pekerja Lepas;1;5;119
57;3000000;20;2500000;0;Wirausaha;4;5;111
23;500000;4;4500000;0;Buruh;4;3;143
67;2500000;10;3500000;0;Pedagang;2;2;222
52;1200000;4;4600000;3;Pekerja Lepas;3;0;84
91;500000;8;2300000;4;Pekerja Lepas;5;2;23
34;1200000;10;5000000;3;Pedagang;1;6;68
74;2000000;6;1500000;5;Buruh;3;6;18
70;700000;3;1200000;2;Pedagang;1;6;297
97;3000000;20;1800000;0;Pedagang;3;6;142
36;500000;6;1500000;4;Pedagang;3;3;70
41;2500000;4;3000000;0;Wirausaha;2;1;267
92;1800000;3;1200000;1;Wirausaha;2;1;84
37;2500000;20;2000000;5;Buruh;2;3;19
78;1000000;12;3500000;5;Wirausaha;3;1;16
82;1900000;5;4600000;5;Buruh;2;2;13
23;3000000;16;1800000;5;Buruh;4;4;142
36;1400000;3;2000000;2;Pedagang;1;0;111
41;1500000;6;4800000;4;Pedagang;3;2;119
43;1200000;10;2500000;4;Pekerja Lepas;5;3;270
48;1200000;10;3000000;2;Buruh;5;3;26
27;1900000;4;1500000;1;Guru/Dosen;1;1;243
82;1400000;16;2300000;3;Pedagang;3;6;265
36;1500000;4;2300000;1;Pedagang;1;4;136
63;1900000;4;1200000;5;Pedagang;2;4;72
60;700000;4;5000000;2;Wirausaha;5;0;101
67;1000000;12;3500000;0;Pekerja Lepas;1;0;207
38;1800000;3;1500000;2;Wirausaha;2;2;203
45;1500000;3;3500000;0;Wirausaha;2;0;178
79;3000000;4;5000000;3;Pekerja Lepas;3;2;4
20;1400000;10;5000000;2;Buruh;1;4;201
64;1600000;5;2500000;3;Buruh;3;1;231
70;1800000;16;4600000;3;Wirausaha;1;0;133
28;700000;8;5000000;3;Buruh;3;3;256
39;1600000;10;4500000;3;Pedagang;3;5;190
70;2000000;4;1500000;0;Guru/Dosen;1;3;210
75;3000000;10;4500000;3;Guru/Dosen;5;3;190
94;1200000;6;2000000;4;Pekerja Lepas;3;3;110
100;3000000;4;2000000;1;Buruh;4;1;87
86;2000000;3;4400000;5;Guru/Dosen;4;1;213
84;2000000;20;2500000;2;Pedagang;1;6;189
97;3000000;8;4500000;4;Wirausaha;2;1;43
20;500000;8;3500000;4;Pedagang;4;1;49
75;1200000;4;4400000;0;Wirausaha;3;1;292
47;500000;16;4500000;4;Guru/Dosen;2;1;55
53;1500000;10;5000000;2;Pedagang;3;3;187
35;3000000;10;2500000;1;Wirausaha;5;6;287
98;1600000;16;4000000;0;Pedagang;4;3;39
75;1200000;5;1200000;2;Pedagang;4;2;259
78;1200000;12;5000000;5;Guru/Dosen;1;4;67
64;1500000;6;5000000;5;Pedagang;5;0;187
68;1000000;3;2000000;2;Pedagang;4;1;225
77;1600000;4;1200000;1;Pekerja Lepas;4;1;84
61;1200000;4;3000000;0;Buruh;3;3;284
20;1000000;3;2000000;1;Pedagang;1;6;84
73;1200000;8;5000000;4;Wirausaha;3;0;275
42;2000000;10;2000000;0;Guru/Dosen;2;1;249
82;1400000;4;4500000;5;Pedagang;1;0;47
46;1200000;10;2000000;5;Buruh;4;5;269
53;1200000;3;1500000;0;Pedagang;3;4;11
31;1200000;8;1200000;1;Wirausaha;5;2;114
73;1500000;10;2500000;2;Guru/Dosen;3;6;239
97;3000000;10;4800000;2;Buruh;4;4;85
64;2500000;3;1800000;0;Guru/Dosen;3;2;230
32;1800000;4;5000000;0;Pekerja Lepas;3;4;278
91;2000000;5;4000000;5;Pedagang;2;6;128
95;1200000;10;4400000;5;Pekerja Lepas;2;3;202
90;2000000;12;4800000;1;Pedagang;5;2;134
67;1000000;4;3000000;2;Guru/Dosen;2;2;66
97;1000000;4;4000000;2;Buruh;3;4;16
88;1500000;4;2300000;3;Pedagang;2;2;8
35;1500000;16;2000000;2;Pekerja Lepas;1;6;38
50;3000000;20;1200000;1;Guru/Dosen;5;4;45
46;1200000;10;2500000;0;Wirausaha;1;4;184
28;1000000;4;4800000;1;Buruh;3;2;165
60;1200000;3;4000000;1;Pedagang;5;6;215
83;1400000;5;2500000;2;Guru/Dosen;5;5;34
92;1200000;4;2500000;2;Pedagang;5;1;214
84;500000;5;4000000;1;Pekerja Lepas;2;6;200
30;1800000;10;2300000;4;Guru/Dosen;3;0;116
38;1500000;10;4800000;3;Pedagang;2;3;179
42;1900000;16;4400000;5;Pedagang;1;0;198
91;1200000;12;2500000;0;Pekerja Lepas;2;5;79
90;2500000;4;2000000;3;Pekerja Lepas;4;2;169
31;1900000;8;3500000;1;Pedagang;1;3;213
49;1800000;16;4400000;2;Buruh;4;5;252
66;1500000;12;3500000;2;Pedagang;5;0;194
20;1400000;4;4000000;0;Pedagang;3;0;31
51;1200000;8;4800000;4;Wirausaha;4;3;3
87;1000000;16;2300000;3;Guru/Dosen;1;3;198
93;2500000;20;1800000;1;Pedagang;5;1;208
23;500000;10;4000000;2;Wirausaha;2;6;237
99;2500000;3;1500000;5;Buruh;1;2;271
61;1200000;8;3500000;4;Guru/Dosen;2;2;290
20;1000000;10;2300000;1;Wirausaha;1;1;277
91;700000;4;4000000;4;Wirausaha;5;0;42
30;1200000;10;2300000;5;Pekerja Lepas;3;4;88
85;500000;3;4800000;5;Wirausaha;4;3;87
100;1200000;4;4400000;0;Pedagang;4;1;70
57;2500000;8;4000000;1;Wirausaha;2;2;248
73;500000;10;2500000;3;Wirausaha;1;6;253
100;700000;3;3500000;5;Pedagang;3;6;68
89;1900000;8;4800000;0;Wirausaha;4;1;126
59;1800000;5;4500000;3;Pekerja Lepas;4;2;109
48;1400000;4;1800000;1;Buruh;4;6;167
33;1200000;10;3500000;3;Pekerja Lepas;4;3;278
83;500000;10;1800000;2;Pekerja Lepas;1;6;263
92;1200000;5;3500000;1;Wirausaha;4;2;207
85;1200000;4;5000000;2;Pekerja Lepas;5;2;43
62;2000000;4;2300000;1;Pedagang;1;6;176
64;1200000;6;4400000;5;Buruh;1;1;261
34;1800000;5;2300000;4;Buruh;4;6;15
64;1200000;20;3000000;5;Pedagang;2;1;21
46;1200000;20;4500000;0;Buruh;3;2;67
92;1900000;4;4000000;4;Buruh;1;0;238
86;1500000;4;4800000;2;Pekerja Lepas;1;3;118
93;1000000;20;4400000;2;Pedagang;1;0;172
71;1000000;16;2500000;2;Wirausaha;4;6;112
69;2500000;3;2500000;4;Buruh;3;2;10
38;700000;5;3000000;1;Buruh;3;5;100
89;1900000;10;4400000;4;Pedagang;4;3;255
75;1000000;6;5000000;1;Buruh;2;1;202
62;1400000;10;2500000;3;Buruh;3;1;112
50;3000000;16;3500000;4;Pekerja Lepas;1;1;86
64;1200000;6;1500000;2;Buruh;1;0;15
30;500000;4;4500000;0;Guru/Dosen;4;5;10
88;1400000;10;2000000;1;Pedagang;2;1;220
99;1200000;6;4800000;4;Buruh;5;3;142
100;2000000;10;1800000;3;Buruh;1;2;259
40;500000;16;4500000;0;Pekerja Lepas;2;4;166
92;1900000;12;4500000;3;Guru/Dosen;1;0;61
79;500000;20;4400000;5;Pekerja Lepas;5;6;66
40;1600000;3;4500000;0;Wirausaha;3;6;272
23;1200000;5;5000000;3;Pekerja Lepas;2;3;272
57;1600000;10;3500000;3;Buruh;4;5;8
59;1800000;20;4500000;0;Pedagang;4;5;69
21;1900000;5;3000000;3;Pedagang;1;3;25
98;1600000;4;4600000;5;Pekerja Lepas;2;4;299
74;1500000;4;3000000;3;Pekerja Lepas;1;5;87
93;1200000;12;2500000;0;Pedagang;5;3;107
70;1000000;4;2000000;4;Pekerja Lepas;5;4;44
42;1200000;8;3500000;0;Pedagang;3;3;232
66;2500000;16;2000000;2;Pedagang;3;6;88
63;1000000;4;1200000;4;Buruh;2;3;82
85;1900000;16;2300000;0;Pedagang;1;6;172
20;1200000;6;2500000;0;Pekerja Lepas;5;5;194
20;1600000;5;4600000;4;Guru/Dosen;1;2;58
29;1500000;4;1200000;4;Pedagang;4;3;284
45;500000;10;2500000;0;Wirausaha;1;1;240
88;1800000;6;2000000;4;Guru/Dosen;2;6;12
63;1900000;3;2300000;4;Pedagang;2;3;297
50;500000;12;3500000;4;Pekerja Lepas;2;6;233
23;1200000;8;4400000;3;Pekerja Lepas;3;1;173
40;500000;10;1500000;5;Buruh;3;4;68
97;2500000;8;4500000;3;Pekerja Lepas;2;3;242
21;1000000;10;2500000;3;Guru/Dosen;2;6;149
84;500000;10;2300000;0;Buruh;2;3;219
89;500000;8;4000000;5;Wirausaha;4;6;285
76;1200000;8;3500000;1;Wirausaha;1;0;239
56;1000000;10;4800000;2;Pedagang;1;4;268
61;1400000;4;1200000;4;Pedagang;1;2;22
92;1200000;5;3000000;5;Guru/Dosen;4;1;193
76;1200000;3;1200000;0;Buruh;1;6;49
59;1200000;10;3500000;1;Pekerja Lepas;4;5;17
93;1500000;5;4500000;1;Pedagang;3;3;110
63;500000;10;4500000;2;Buruh;5;6;78
72;2500000;10;4500000;2;Wirausaha;5;6;157
73;500000;12;2000000;5;Guru/Dosen;4;3;176
82;3000000;20;5000000;5;Guru/Dosen;3;3;149
91;500000;6;4000000;1;Pedagang;1;1;26
61;500000;3;4600000;3;Wirausaha;5;1;213
24;1200000;16;3000000;5;Pedagang;3;6;281
71;3000000;8;2000000;5;Pekerja Lepas;3;2;38
45;500000;4;3000000;3;Wirausaha;2;6;19
29;1200000;3;2000000;0;Guru/Dosen;5;1;271
51;1200000;8;4400000;0;Pedagang;4;6;295
78;500000;3;1500000;2;Pekerja Lepas;2;6;254
94;2500000;10;2000000;5;Buruh;1;0;123
64;1200000;4;3500000;4;Pedagang;1;5;202
53;700000;6;1500000;2;Pedagang;4;5;278
29;1900000;5;4400000;0;Guru/Dosen;1;6;14
87;1800000;10;4500000;2;Pedagang;3;1;177
22;1000000;10;2500000;3;Pekerja Lepas;3;4;157
45;500000;6;3000000;5;Pekerja Lepas;3;3;28
84;1500000;8;2500000;4;Wirausaha;5;4;144
91;2000000;3;4000000;5;Pedagang;3;5;123
60;1800000;10;4000000;5;Pedagang;1;1;190
100;1800000;4;1500000;1;Pedagang;5;1;83
52;500000;4;4000000;5;Pedagang;5;0;220
84;1200000;20;3500000;2;Buruh;2;0;93
32;1200000;16;4800000;3;Guru/Dosen;5;2;194
35;1800000;4;2300000;3;Buruh;1;3;219
60;3000000;8;4400000;4;Pedagang;1;5;275
59;1200000;6;4400000;1;Wirausaha;5;1;203
96;500000;20;2500000;3;Guru/Dosen;4;4;142
66;1200000;5;3500000;2;Guru/Dosen;1;1;18
61;3000000;10;2000000;1;Guru/Dosen;3;6;45
38;2000000;4;2300000;1;Pedagang;4;5;284
82;1000000;10;4600000;1;Wirausaha;1;0;141
70;1200000;16;2300000;5;Wirausaha;1;0;27
49;500000;16;4600000;0;Buruh;5;3;131
80;1900000;10;3500000;0;Guru/Dosen;2;2;167
55;2000000;10;1800000;2;Pekerja Lepas;3;4;165
72;1200000;4;1800000;0;Guru/Dosen;5;1;197
100;1000000;12;2300000;5;Pedagang;3;2;263
64;1400000;3;1200000;5;Buruh;3;2;166
51;700000;16;4000000;5;Buruh;3;1;240
28;1000000;6;3000000;0;Buruh;2;4;219
96;2000000;10;5000000;3;Pedagang;1;5;210
85;700000;10;4400000;0;Guru/Dosen;5;2;236
27;1800000;12;2300000;5;Pedagang;5;3;114
83;1200000;3;3500000;0;Pekerja Lepas;2;1;172
76;1500000;4;2000000;4;Wirausaha;2;2;191
52;1000000;10;4500000;2;Wirausaha;5;3;216
63;1200000;5;4400000;4;Pedagang;2;4;202
40;2000000;10;4400000;4;Wirausaha;3;5;235
70;1900000;6;4000000;0;Pedagang;4;0;210
52;2500000;10;4000000;2;Pedagang;5;3;70
77;1200000;4;5000000;4;Pekerja Lepas;4;1;209
72;1200000;3;3500000;2;Guru/Dosen;2;1;185
50;1400000;4;4000000;5;Buruh;2;1;184
86;1900000;3;4800000;3;Pedagang;3;5;104
48;1000000;3;4000000;4;Pedagang;1;6;236
69;2000000;5;4800000;1;Buruh;2;0;216
93;2000000;12;1200000;3;Pedagang;5;4;64
21;1000000;10;4800000;0;Pedagang;2;0;178
58;3000000;12;4500000;0;Buruh;3;4;86
63;1600000;5;1200000;3;Pedagang;5;5;204
36;1200000;10;2000000;4;Pedagang;1;5;268
64;3000000;4;4800000;0;Pedagang;2;5;67
81;1600000;5;4600000;4;Buruh;4;3;29
100;3000000;6;1800000;5;Pekerja Lepas;1;0;100
46;1400000;8;4500000;0;Pedagang;3;0;121
40;500000;12;2000000;0;Guru/Dosen;3;4;257
62;1500000;10;2000000;2;Guru/Dosen;4;6;224
62;500000;10;2500000;5;Guru/Dosen;2;4;45
84;3000000;10;1500000;4;Pedagang;3;3;205
28;1800000;4;4600000;4;Pedagang;5;0;207
91;500000;4;4500000;2;Pedagang;2;3;231
54;1500000;4;4500000;3;Guru/Dosen;1;1;262
32;1800000;4;4600000;3;Pedagang;5;1;180
81;1900000;5;1500000;4;Pedagang;2;0;37
22;1600000;10;2500000;3;Pekerja Lepas;3;3;106
30;1000000;16;2300000;4;Guru/Dosen;1;1;69
30;1200000;6;2000000;5;Wirausaha;3;2;199
85;1600000;4;4500000;0;Buruh;4;6;81
51;2500000;4;2300000;4;Buruh;5;1;220
86;1000000;5;1800000;5;Guru/Dosen;4;2;153
87;1900000;10;4800000;3;Pekerja Lepas;4;4;65
77;700000;4;2000000;5;Pedagang;4;5;15
70;1200000;12;1800000;2;Pekerja Lepas;4;4;113
99;1200000;8;1200000;0;Pekerja Lepas;4;4;207
30;500000;12;2300000;1;Pedagang;5;0;267
96;1400000;10;4600000;4;Wirausaha;4;2;103
92;1400000;10;4000000;2;Buruh;4;4;186
51;1600000;12;2500000;1;Pedagang;1;1;92
36;1200000;10;1200000;1;Pekerja Lepas;1;5;162
21;500000;10;4500000;5;Wirausaha;3;1;93
94;1400000;8;2300000;3;Wirausaha;1;3;79
79;2000000;12;1800000;0;Pedagang;3;4;249
26;2500000;8;2300000;5;Buruh;4;1;12
78;1600000;5;1200000;0;Guru/Dosen;2;1;284
29;3000000;3;2000000;0;Pedagang;3;6;253
86;1200000;4;3500000;2;Guru/Dosen;5;6;281
59;1600000;4;3000000;3;Pedagang;3;3;58
40;1400000;12;3500000;3;Pekerja Lepas;2;1;93
78;700000;3;3500000;4;Pekerja Lepas;1;2;154
99;1500000;20;4800000;1;Pedagang;2;6;177
70;1000000;3;5000000;0;Pedagang;3;1;126
71;1600000;12;3000000;1;Wirausaha;1;3;165
57;1000000;4;5000000;3;Pedagang;4;3;42
59;1500000;20;1800000;5;Guru/Dosen;2;1;62
53;500000;4;4000000;1;Wirausaha;4;1;157
52;500000;4;4500000;1;Pekerja Lepas;2;3;1
53;1500000;5;2000000;0;Wirausaha;3;4;45
87;1900000;20;4400000;1;Wirausaha;3;6;149
26;1000000;5;1200000;3;Pedagang;5;4;288
32;1200000;4;2300000;4;Pekerja Lepas;5;4;206
92;1800000;20;2300000;3;Guru/Dosen;3;3;80
91;500000;12;4800000;2;Pekerja Lepas;4;1;51
41;1200000;4;5000000;2;Pedagang;3;5;6
45;500000;6;1500000;5;Buruh;5;3;121
33;1500000;4;1500000;3;Pekerja Lepas;4;5;209
32;500000;10;4600000;0;Pedagang;5;4;211
36;1500000;8;4800000;0;Pedagang;4;0;51
42;1800000;6;1200000;1;Pedagang;1;3;232
75;500000;6;2300000;2;Pedagang;2;3;19
36;1600000;4;4800000;0;Pekerja Lepas;2;3;1
53;500000;4;4500000;2;Pedagang;5;2;160
56;1400000;8;5000000;2;Pekerja Lepas;1;5;145
59;1200000;4;4800000;2;Guru/Dosen;5;6;250
63;700000;20;2500000;5;Pekerja Lepas;5;3;49
80;1600000;6;4500000;4;Wirausaha;3;6;132
74;1600000;4;4800000;5;Pedagang;1;5;57
60;2500000;4;1200000;4;Wirausaha;5;2;45
96;1500000;20;2300000;4;Buruh;5;0;31
87;1200000;3;4400000;4;Pekerja Lepas;3;6;190
86;500000;8;1800000;5;Buruh;2;6;115
86;1200000;16;3000000;3;Pedagang;4;4;76
74;1000000;10;1500000;3;Pedagang;1;3;79
57;700000;6;4600000;2;Pedagang;3;5;192
67;1200000;12;4800000;0;Wirausaha;3;6;53
26;3000000;12;3000000;0;Pedagang;4;4;47
84;500000;4;5000000;1;Pedagang;3;3;145
43;1000000;4;5000000;2;Buruh;5;2;289
44;1600000;6;4400000;0;Wirausaha;5;0;110
94;1200000;10;4800000;5;Pedagang;5;4;152
75;1900000;6;2500000;3;Buruh;5;6;235
22;1900000;4;4000000;3;Pedagang;1;5;8
87;1200000;8;4800000;4;Wirausaha;3;3;28
52;500000;4;4000000;1;Pedagang;2;5;130
72;1200000;12;4800000;5;Wirausaha;1;4;276
54;700000;10;4600000;0;Guru/Dosen;4;2;282
53;1000000;4;1500000;0;Buruh;1;3;272
61;500000;8;4500000;3;Pekerja Lepas;2;2;278
50;1000000;3;4600000;4;Guru/Dosen;4;5;179
69;500000;3;2300000;2;Wirausaha;2;6;20
40;3000000;10;3000000;0;Wirausaha;1;2;238
28;500000;4;2000000;1;Pekerja Lepas;5;2;294
77;1400000;20;2500000;0;Pedagang;2;4;265
67;2000000;4;3500000;4;Buruh;1;2;90
23;700000;16;1200000;2;Guru/Dosen;1;4;242
95;700000;6;2500000;2;Pedagang;5;3;116
84;3000000;10;3500000;4;Pedagang;3;2;45
76;700000;8;2000000;3;Pekerja Lepas;2;0;70
28;1400000;10;4800000;3;Buruh;4;2;14
77;2500000;16;4500000;4;Wirausaha;2;0;254
32;1200000;4;3500000;2;Buruh;2;4;187
30;1800000;20;4000000;2;Buruh;5;0;162
59;2000000;12;2500000;2;Pedagang;3;6;145
73;2500000;10;4500000;4;Buruh;1;3;272
30;1000000;5;3000000;2;Buruh;5;5;7
44;1200000;6;4600000;0;Buruh;2;5;59
95;1400000;4;1200000;4;Pedagang;3;5;134
33;1200000;5;4500000;1;Pedagang;4;5;54
74;1600000;5;1800000;5;Pedagang;2;1;34
79;1800000;8;4600000;3;Guru/Dosen;2;6;279
42;500000;16;3000000;5;Pekerja Lepas;1;5;215
91;1900000;16;2000000;5;Pedagang;2;0;161
76;3000000;10;1800000;2;Buruh;1;3;91
62;500000;16;4000000;1;Pedagang;1;5;140
73;1000000;10;2000000;3;Guru/Dosen;5;3;212
76;500000;16;3500000;2;Pedagang;5;6;184
81;1200000;16;2500000;3;Guru/Dosen;3;4;266
94;1500000;4;4000000;0;Guru/Dosen;1;0;0
25;700000;16;2300000;3;Buruh;1;1;204
36;700000;20;5000000;3;Pedagang;5;1;6
33;500000;6;5000000;0;Pekerja Lepas;5;4;150
79;2000000;4;2300000;0;Pedagang;2;1;17
51;1200000;3;3000000;2;Guru/Dosen;5;6;150
95;1200000;12;4000000;5;Wirausaha;2;1;169
93;1000000;8;1500000;3;Guru/Dosen;2;3;244
73;1200000;4;4600000;4;Wirausaha;1;2;187
63;1500000;10;4500000;3;Guru/Dosen;5;0;55
49;2500000;10;3500000;4;Pekerja Lepas;1;5;161
97;1500000;6;4400000;5;Wirausaha;4;5;116
78;1000000;10;4800000;0;Pedagang;5;6;218
27;1000000;20;2500000;5;Pedagang;3;5;153
92;1200000;4;1500000;2;Wirausaha;1;3;77
31;2000000;10;3500000;5;Pekerja Lepas;1;2;120
77;2500000;16;1500000;0;Buruh;5;4;81
38;1500000;10;5000000;0;Guru/Dosen;4;3;244
60;2500000;3;1200000;5;Wirausaha;2;2;76
37;1200000;6;4600000;4;Pekerja Lepas;1;4;135
51;500000;3;3500000;3;Pedagang;1;1;257
28;1200000;4;3500000;0;Pekerja Lepas;4;1;188
47;1900000;10;2300000;1;Guru/Dosen;2;4;182
29;700000;10;4000000;1;Buruh;3;5;5
55;2000000;3;4600000;3;Buruh;5;4;81
26;1200000;10;2000000;1;Pedagang;5;1;80
85;1200000;4;4500000;2;Pekerja Lepas;2;1;193
66;1500000;4;2300000;3;Buruh;4;2;28
63;1400000;4;4600000;0;Pedagang;2;1;105
68;3000000;4;3500000;0;Guru/Dosen;1;6;143
66;1600000;20;4000000;3;Pedagang;4;6;100
30;500000;4;1800000;3;Pekerja Lepas;4;1;15
44;3000000;10;2500000;1;Guru/Dosen;5;6;287
82;1600000;8;2500000;5;Wirausaha;3;0;178
71;3000000;5;1200000;0;Pekerja Lepas;4;1;265
44;2500000;20;3000000;2;Guru/Dosen;5;3;217
86;700000;4;4500000;4;Pedagang;4;0;88
93;1500000;16;4800000;3;Pedagang;5;0;1
76;2500000;12;2000000;2;Pedagang;4;5;170
77;3000000;20;2300000;1;Buruh;3;2;128
74;3000000;8;3000000;5;Buruh;3;2;243
25;1800000;4;4000000;3;Guru/Dosen;4;1;45
91;500000;5;4600000;0;Buruh;5;5;280
45;1200000;12;1500000;3;Guru/Dosen;4;2;289
40;1200000;8;2500000;4;Buruh;3;4;8
57;1200000;4;2000000;2;Pedagang;1;6;12
43;1200000;20;4400000;0;Pedagang;2;1;67
79;1600000;20;1500000;1;Buruh;5;0;40
36;1000000;10;4600000;3;Pekerja Lepas;4;1;267
98;700000;6;2000000;5;Buruh;1;5;208
93;1500000;4;4400000;1;Pekerja Lepas;5;0;95
66;1000000;5;3000000;4;Wirausaha;2;5;225
100;1200000;10;1500000;1;Pedagang;4;1;40
90;2500000;20;1800000;3;Pedagang;2;6;200
80;2000000;5;1500000;5;Wirausaha;3;3;290
21;700000;10;4400000;2;Wirausaha;2;4;195
38;1200000;3;4600000;1;Wirausaha;2;2;199
